# {"t_start": 1680539925.431679, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
399.0,762,12.131773
357.0,538,17.876495
189.0,354,21.927236
294.0,573,28.535306
273.0,572,35.075248
336.0,620,42.199408
294.0,588,49.048413
210.0,554,55.481455
189.0,379,59.989318
252.0,508,66.033402
357.0,570,72.9971
231.0,602,116.664446
336.0,589,123.842949
441.0,679,131.778704
210.0,342,135.441476
294.0,601,142.081878
378.0,656,149.363836
294.0,478,154.717032
399.0,562,160.954814
294.0,653,168.097338
189.0,329,171.723063
441.0,706,180.104406
336.0,538,186.757313
315.0,586,229.461218
231.0,477,235.26107
378.0,675,243.582063
273.0,576,250.551387
462.0,671,258.764827
336.0,666,266.907586
609.0,705,275.524442
546.0,668,283.672208
273.0,485,288.98585
294.0,607,295.788141
357.0,542,341.80624
504.0,691,349.736092
252.0,518,355.566003
399.0,643,362.978348
609.0,659,370.372712
357.0,528,376.272101
315.0,635,383.42814
420.0,649,391.451307
462.0,627,399.061317
252.0,475,404.905822
378.0,637,412.605979
525.0,659,461.40944
336.0,472,466.533111
399.0,569,473.04983
504.0,692,480.7219
378.0,547,487.435361
745.0,865,497.782807
420.0,561,504.61946
357.0,510,510.757397
651.0,843,521.007351
588.0,756,575.826046
651.0,767,585.288035
483.0,542,591.81746
609.0,700,599.375962
682.0,810,608.115439
724.0,809,617.462308
672.0,830,625.835816
672.0,756,634.065954
672.0,919,644.709922
672.0,843,704.496747
777.0,937,715.900495
735.0,779,725.569704
1365.0,1477,743.538955
735.0,849,753.2921
819.0,885,762.852822
735.0,933,825.842923
714.0,777,835.255572
766.0,837,845.427856
798.0,839,855.478121
913.0,935,866.856893
588.0,819,876.937685
2100.0,2433,960.838603
860.0,898,970.83145
745.0,849,981.148118
797.0,871,991.535171
672.0,865,1001.651831
1448.0,1627,1020.863117
881.0,1016,1112.975563
808.0,876,1122.225743
1500.0,2077,1144.805985
840.0,904,1155.707739
777.0,742,1164.581499
838.0,1076,1177.513558
860.0,1001,1247.765141
891.0,925,1257.410287
714.0,835,1266.022376
1510.0,1670,1283.318723
891.0,832,1292.00282
703.0,872,1301.032255
819.0,866,1426.830495
2770.0,2851,1455.982332
941.0,1125,1466.641485
839.0,1007,1476.002734
924.0,768,1484.869421
1480.0,1629,1598.062487
1606.0,1661,1616.029562
2908.0,3069,1648.813005
1184.0,1491,1763.614936
3053.0,3135,1802.298944
1257.0,1390,1819.138455
1112.0,1023,1960.522714
797.0,900,1971.76344
776.0,901,1982.554057
913.0,892,1993.257025
1427.0,1531,2012.051012
588.0,738,2021.100017
860.0,1027,2093.65398
1971.0,2300,2125.331391
3042.0,3249,2168.926769
735.0,774,2238.801278
859.0,972,2250.043194
1079.0,1050,2262.86878
787.0,903,2274.133257
871.0,947,2287.424612
860.0,832,2298.976692
1353.0,1328,2385.677562
1238.0,1343,2401.423429
1217.0,1183,2414.68339
860.0,843,2424.423574
2665.0,2431,2454.786685
2917.0,3035,2617.235113
1815.0,1758,2638.191873
1984.0,1855,2777.573247
1993.0,1802,2802.782925
1837.0,1470,2823.22033
933.0,830,2834.77632
1794.0,1724,2858.510131
2003.0,1980,2999.876677
2686.0,2889,3040.596203
2404.0,2269,3215.004185
1920.0,1689,3238.389546
1941.0,1888,3264.06278
3043.0,2717,3364.423987
2140.0,1948,3388.955791
1353.0,1342,3407.47571
923.0,958,3420.649681
766.0,881,3432.75039
1877.0,1924,3591.137323
3054.0,2603,3625.641597
819.0,736,3634.765698
1762.0,1692,3655.849004
2382.0,2148,3834.70818
2288.0,2105,3863.930404
1512.0,1280,3881.984518
2362.0,2156,4023.26466
2782.0,2461,4060.985214
1625.0,1292,4081.135776
1562.0,1478,4198.212622
2204.0,2174,4235.184079
2780.0,2391,4269.829165
2666.0,2409,4469.068025
891.0,908,4482.629233
1006.0,960,4496.799428
2349.0,2197,4531.375543
2978.0,3005,4688.090346
2393.0,2222,4718.847386
2015.0,1929,4740.430017
2097.0,1775,4858.913648
2591.0,2395,4894.363021
974.0,893,4906.880052
2403.0,2156,5057.606619
2245.0,1788,5084.358126
1868.0,1630,5110.404221
1112.0,922,5125.471234
1794.0,1564,5278.594635
1679.0,1567,5302.240391
2654.0,2428,5341.988428
2108.0,1761,5368.020606
1773.0,2008,5556.955329
1993.0,1747,5580.707354
1237.0,1138,5599.46361
1699.0,1582,5625.138283
1816.0,1489,5791.90804
1931.0,1682,5816.0216
2391.0,2080,5848.109698
2046.0,1664,5982.218076
2098.0,1869,6009.348187
902.0,833,6021.491446
1879.0,1619,6043.987998
2298.0,2030,6158.563019
2393.0,2239,6193.750187
1373.0,1338,6214.043306
2845.0,2573,6486.979215
2675.0,2506,6530.000363
2824.0,2432,6562.440494
1921.0,1570,6739.697155
2287.0,2038,6771.198113
3073.0,2661,6811.726674
1878.0,1634,7001.10383
2234.0,2012,7035.934901
3167.0,2660,7084.31646
2140.0,1945,7275.853862
1846.0,1823,7307.848378
913.0,890,7323.501082
1572.0,1447,7349.317331
1553.0,1186,7488.048881
3053.0,2533,7534.923595
1478.0,1358,7557.232969
1785.0,1595,7584.623092
1689.0,1562,7763.580693
964.0,1057,7784.524837
2098.0,1920,7819.839439
2340.0,2018,7854.486809
861.0,756,8001.222158
2571.0,2090,8042.316869
1763.0,1437,8070.536662
3148.0,2580,8242.760756
3137.0,2794,8292.328542
1604.0,1338,8316.5894
1047.0,932,8334.660013
1951.0,1466,8464.112442
2823.0,2595,8509.747012
2455.0,2502,8553.448994
2015.0,1598,8678.625535
1636.0,1344,8704.525234
3148.0,2797,8756.821872
3231.0,2604,8924.600518
