# {"t_start": 1680597459.711268, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
273.0,621,15.678132
336.0,634,28.378557
441.0,603,40.114144
399.0,523,50.820654
210.0,349,57.380832
231.0,634,69.981059
483.0,635,82.91118
189.0,427,91.372205
420.0,649,105.127354
168.0,470,115.102312
252.0,572,127.364504
609.0,788,190.542716
378.0,622,204.529785
273.0,460,214.398324
315.0,559,225.634043
441.0,669,237.879419
441.0,648,250.614895
294.0,489,259.310405
525.0,669,272.442899
294.0,602,284.139786
168.0,253,289.007902
399.0,620,301.089413
294.0,473,357.059836
210.0,473,367.278078
546.0,818,384.132016
189.0,317,390.911704
252.0,595,402.949212
378.0,612,416.529868
294.0,489,426.605485
399.0,591,439.423406
441.0,601,452.366271
315.0,531,463.37879
483.0,661,477.17418
420.0,704,536.013758
252.0,636,548.281932
378.0,580,560.059625
399.0,680,573.74726
378.0,641,586.134468
567.0,965,604.083616
273.0,510,613.612487
105.0,282,618.766651
336.0,482,627.294453
378.0,618,639.221899
441.0,699,652.773201
210.0,444,714.313312
336.0,571,726.462619
462.0,604,739.300118
483.0,721,753.711984
231.0,379,760.993719
525.0,775,775.37957
315.0,534,784.844056
567.0,707,797.982775
504.0,695,811.450881
399.0,571,822.945284
252.0,511,883.006608
860.0,891,901.342248
441.0,574,913.206768
231.0,409,921.18468
546.0,702,934.317435
525.0,689,947.039113
504.0,619,958.113887
829.0,856,974.355301
315.0,411,981.688568
441.0,572,992.314651
546.0,705,1070.518587
483.0,663,1083.431418
630.0,832,1098.973912
546.0,703,1112.298326
504.0,700,1125.268776
567.0,703,1140.25279
504.0,621,1153.623124
483.0,742,1170.234789
588.0,673,1184.307591
777.0,873,1271.824076
766.0,896,1288.291278
672.0,1059,1307.940541
672.0,846,1324.209017
819.0,1059,1345.897055
714.0,998,1367.010834
630.0,765,1382.740692
756.0,802,1479.75339
735.0,1059,1502.081454
672.0,872,1520.020477
735.0,1000,1538.876178
672.0,847,1554.872637
735.0,968,1574.002283
525.0,540,1583.868637
672.0,879,1690.644289
777.0,906,1709.476489
777.0,1061,1730.409782
735.0,816,1745.956329
672.0,1032,1765.494846
609.0,861,1784.475838
882.0,936,1804.602255
797.0,1008,1913.680579
1081.0,1222,1938.020831
787.0,854,1955.693045
850.0,1091,1978.08907
829.0,978,1997.385426
881.0,1063,2019.549078
797.0,918,2116.648689
829.0,907,2137.438271
672.0,844,2156.138267
892.0,1058,2180.403806
881.0,1051,2203.28674
1153.0,1492,2234.283468
756.0,848,2361.84195
871.0,955,2382.549101
839.0,1136,2407.68229
745.0,820,2425.949169
462.0,477,2435.77339
766.0,867,2452.680197
1322.0,1447,2481.259946
315.0,478,2557.903091
818.0,869,2576.607721
1080.0,1150,2602.552892
955.0,931,2623.161919
756.0,840,2639.772352
1784.0,1981,2676.632964
1331.0,1390,2841.931168
1269.0,1258,2867.394992
882.0,904,2886.938586
1322.0,1373,2916.451618
902.0,901,2935.144718
787.0,968,3100.330188
798.0,804,3117.423712
766.0,854,3135.349403
1521.0,1824,3173.776615
808.0,832,3191.654984
2015.0,2169,3419.435637
1207.0,1148,3442.098591
1217.0,1348,3468.937702
3011.0,3200,3535.043784
1154.0,1181,3624.831536
2152.0,2284,3673.460501
1131.0,1219,3700.617205
1247.0,1271,3729.100279
1078.0,1118,3901.169757
1069.0,1160,3926.035804
2014.0,1996,3967.281085
1458.0,1465,3995.168955
756.0,846,4012.301561
807.0,936,4126.397535
2057.0,2370,4171.615417
1751.0,1930,4205.114786
902.0,932,4225.358128
1112.0,1084,4483.459671
1518.0,1915,4526.926533
1289.0,1420,4556.02431
745.0,905,4572.875627
2099.0,2240,4711.936194
1458.0,1405,4738.160008
1470.0,1474,4766.637035
818.0,800,4785.06324
1963.0,2191,4951.594995
1385.0,1373,4978.908371
1804.0,2001,5024.88997
1857.0,1600,5060.233018
3104.0,3166,5287.080604
965.0,871,5306.910046
943.0,931,5326.428079
860.0,839,5343.814041
609.0,595,5355.105791
1091.0,1232,5592.906295
1479.0,1375,5622.43621
1007.0,865,5640.635498
861.0,861,5658.894866
1319.0,1309,5683.401249
1719.0,1681,5778.694021
924.0,800,5794.874166
891.0,839,5811.233152
954.0,870,5829.694035
1785.0,1894,5869.282574
1741.0,1817,6040.059
1269.0,1289,6064.576431
1530.0,1466,6096.577254
1961.0,1891,6136.490985
1793.0,1965,6405.604138
1312.0,1309,6430.590853
3052.0,3182,6497.59297
1604.0,1737,6760.427063
1961.0,2107,6802.458599
2622.0,2592,6855.299848
1259.0,1274,6883.522875
1165.0,1096,7000.178232
1552.0,1599,7032.142902
1038.0,988,7052.99447
892.0,874,7071.084877
1669.0,1837,7298.721997
1763.0,1841,7337.850278
1280.0,1127,7361.564801
1625.0,1833,7398.009878
2380.0,2502,7692.668225
1888.0,1870,7731.982746
1164.0,1068,7754.009536
2435.0,2117,7793.354103
903.0,936,7990.715786
1343.0,1436,8019.791568
840.0,999,8040.670208
808.0,714,8055.46486
2539.0,2775,8315.072046
902.0,927,8332.577725
1667.0,1740,8367.443868
1237.0,1098,8390.256759
2603.0,2749,8642.340422
2308.0,2041,8681.756529
1260.0,1131,8704.678576
1269.0,1266,8731.906793
2150.0,1936,8934.016144
1668.0,1521,8967.450665
1636.0,1514,8999.229371
995.0,1088,9022.14029
2748.0,2504,9257.342899
1730.0,1700,9290.776296
1194.0,1020,9311.08195
3321.0,3448,9574.082918
1573.0,1754,9606.930463
1016.0,914,9625.199727
2024.0,1911,9667.428635
1709.0,1920,9869.90138
922.0,897,9888.965178
1028.0,1006,9910.652639
2403.0,2272,9955.311541
2025.0,1915,10118.643895
3053.0,3245,10181.461817
1920.0,1989,10223.206415
3114.0,2911,10412.893778
1825.0,2143,10456.511715
2002.0,1998,10656.299783
1657.0,1691,10688.39553
1511.0,1472,10715.659518
1941.0,2042,10756.710392
2424.0,2417,10924.202018
1059.0,995,10945.101838
2823.0,2853,11001.100685
2089.0,1960,11284.192693
2991.0,2845,11342.383665
2467.0,2140,11591.918292
1427.0,1320,11618.143163
2676.0,2531,11670.048111
1763.0,1727,11706.167005
1060.0,923,11877.443983
2844.0,2628,11929.824837
2718.0,2724,11981.117318
1447.0,1445,12115.353972
2624.0,2295,12158.657435
1596.0,1491,12192.269622
2614.0,2335,12461.815809
1154.0,1247,12489.423461
2677.0,2705,12543.568815
1679.0,1918,12769.490807
3041.0,3060,12830.060787
1300.0,1143,12853.607819
2257.0,1936,13048.694523
2612.0,2371,13092.208531
2865.0,2588,13143.944023
1248.0,1179,13331.574175
1719.0,1696,13369.165299
2729.0,2306,13423.104341
4063.0,3387,13704.728827
954.0,833,13723.853462
3147.0,2894,13784.578649
1845.0,1723,14081.495975
1888.0,1810,14119.98661
2645.0,2460,14170.286671
2938.0,3137,14404.026104
1332.0,1234,14430.374351
2162.0,1834,14472.220666
1877.0,1729,14512.137528
1814.0,1532,14691.262621
1238.0,1108,14715.566464
1774.0,1632,14751.612148
3344.0,3043,15005.222338
2318.0,2131,15054.382756
1562.0,1471,15088.562063
986.0,802,15106.107471
1322.0,1187,15307.552015
1007.0,784,15324.317838
2960.0,2566,15375.389771
2625.0,2150,15420.6018
1081.0,929,15668.571545
2708.0,2234,15711.844219
1248.0,1024,15732.697155
943.0,847,15750.963174
2497.0,2415,16024.620367
2790.0,2537,16073.738108
2068.0,1901,16111.2572
