# {"t_start": 1680454831.2536194, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
1320.0,1843,43.294543
580.0,506,54.969695
760.0,580,68.508459
1280.0,1022,92.283208
980.0,822,111.341008
1030.0,809,130.418386
1370.0,751,198.383526
3220.0,1338,228.666487
1280.0,1365,258.019183
780.0,766,274.285052
1570.0,996,295.575991
880.0,565,307.899813
530.0,343,315.043161
310.0,371,322.877315
780.0,536,335.334706
1300.0,1199,466.978283
1640.0,1269,497.154643
680.0,357,505.325585
390.0,395,514.498439
780.0,375,522.559771
710.0,416,531.639796
1300.0,924,551.744608
1580.0,832,569.344347
1490.0,969,642.725797
1370.0,948,665.038253
1180.0,747,682.531407
560.0,294,689.157055
1620.0,773,707.244314
2080.0,757,725.115442
1280.0,886,746.029098
880.0,427,755.954563
1180.0,427,765.805514
580.0,298,772.023891
930.0,484,882.486853
1180.0,466,893.466278
730.0,464,904.391867
780.0,415,914.073913
1130.0,592,927.853301
430.0,413,937.276109
580.0,335,945.200716
630.0,475,956.080586
1080.0,538,968.52384
1370.0,1348,1000.383142
1280.0,527,1012.572221
980.0,548,1023.870587
1340.0,533,1085.392781
1630.0,904,1106.593718
1470.0,696,1122.993319
980.0,559,1133.71242
1340.0,660,1144.736184
930.0,290,1149.608015
1030.0,453,1157.189979
2060.0,933,1172.905309
1080.0,606,1183.348862
1510.0,742,1195.648461
1470.0,1689,1277.823435
930.0,405,1286.823773
1710.0,475,1297.328032
1430.0,1374,1328.417379
2450.0,1153,1354.546732
980.0,414,1363.532535
1320.0,520,1375.125395
1570.0,1215,1491.392656
1180.0,595,1503.707278
1680.0,1001,1524.533952
830.0,352,1531.718358
680.0,369,1539.056068
1540.0,855,1556.828168
780.0,383,1564.537935
1300.0,660,1579.612763
1610.0,1038,1602.89707
1300.0,645,1667.991183
1450.0,952,1689.269716
1590.0,1009,1711.637965
1810.0,683,1726.756968
980.0,397,1735.463772
930.0,436,1745.03667
1300.0,592,1756.985392
780.0,371,1764.400653
1730.0,913,1783.22364
1380.0,665,1796.956732
1710.0,1202,1922.916785
2150.0,1290,1952.993928
1390.0,670,1968.559323
2300.0,886,1987.716052
2210.0,1141,2011.464913
1370.0,1179,2035.906255
2530.0,1328,2168.992715
2100.0,867,2190.007788
1300.0,899,2212.00234
780.0,380,2221.081522
630.0,359,2229.646149
1080.0,455,2240.702767
1320.0,517,2253.26423
1520.0,834,2273.367434
1080.0,479,2283.834825
1180.0,815,2381.57806
1080.0,581,2395.702904
1470.0,742,2413.861883
1320.0,809,2433.397827
830.0,466,2444.506862
930.0,566,2457.98959
1580.0,665,2473.929418
1400.0,486,2485.636909
1280.0,724,2503.07358
530.0,463,2513.980043
2380.0,818,2639.697551
1590.0,696,2656.468858
1520.0,764,2674.87137
1490.0,948,2697.869644
1410.0,827,2718.096923
930.0,539,2731.259879
730.0,361,2739.901266
680.0,492,2751.71842
1280.0,763,2770.465203
1030.0,459,2781.600356
1180.0,564,2848.617105
1320.0,736,2864.822772
1280.0,692,2881.304957
1080.0,592,2895.655578
880.0,507,2907.810392
1030.0,531,2920.597335
1300.0,1099,2947.249427
1350.0,1076,2973.372872
1510.0,877,3102.88012
730.0,467,3113.15409
980.0,457,3123.140612
780.0,333,3130.445743
1030.0,595,3143.731054
1300.0,579,3156.53922
1030.0,408,3165.579183
380.0,406,3174.564532
1590.0,865,3194.92644
1850.0,886,3216.381875
780.0,452,3227.088911
2850.0,1010,3352.199359
1490.0,811,3371.544866
430.0,409,3381.340028
730.0,554,3393.64239
1520.0,1140,3418.965035
1130.0,661,3433.604717
2000.0,1078,3457.548866
1350.0,1039,3480.652056
1490.0,1132,3597.56183
1660.0,958,3620.921514
1510.0,1213,3650.194071
1130.0,565,3663.793115
1730.0,872,3683.478719
680.0,412,3692.481679
1320.0,1189,3718.911125
830.0,557,3840.05733
2060.0,832,3860.150827
680.0,422,3870.251316
1340.0,774,3888.925201
660.0,459,3899.979086
1890.0,745,3918.071793
1180.0,723,3935.531628
2550.0,1262,3966.106162
730.0,415,3975.21076
1400.0,652,4095.905671
530.0,465,4107.188928
1130.0,519,4119.628356
1280.0,1040,4144.687796
780.0,383,4153.772649
1280.0,1024,4178.577504
680.0,467,4189.726409
530.0,416,4199.728235
580.0,385,4208.894625
1320.0,917,4231.13827
1030.0,477,4242.7503
1980.0,1057,4375.711881
1680.0,929,4398.283915
980.0,488,4409.985698
980.0,650,4425.747345
1730.0,1345,4458.932097
980.0,609,4473.675997
2550.0,987,4497.514247
1520.0,839,4624.244523
2850.0,1129,4651.80781
1630.0,989,4675.697003
930.0,459,4683.970665
1130.0,503,4693.153836
1320.0,966,4710.40557
930.0,428,4717.9173
1180.0,497,4726.501101
930.0,416,4733.798256
2750.0,1197,4863.642219
1750.0,949,4886.935878
1560.0,1625,4926.887587
930.0,554,4940.378483
1900.0,1225,4970.205501
1080.0,557,4983.694358
930.0,715,5112.821361
1180.0,494,5124.661047
580.0,297,5131.752315
1300.0,975,5155.560231
1350.0,797,5175.119741
1280.0,1107,5202.405663
1280.0,663,5218.62034
980.0,591,5232.878498
880.0,474,5244.484909
880.0,634,5259.851155
630.0,422,5374.824018
980.0,472,5386.233366
1080.0,561,5400.012784
1900.0,1068,5426.096386
830.0,374,5435.056172
2150.0,867,5456.252587
1130.0,549,5469.55375
1780.0,735,5487.255214
1030.0,399,5496.795176
2350.0,794,5515.842537
1860.0,800,5634.537626
1610.0,910,5657.044004
1180.0,563,5670.781994
1440.0,691,5687.622386
1880.0,1219,5717.372045
1540.0,510,5729.692827
980.0,340,5737.887058
1280.0,527,5750.450298
1350.0,698,5767.209281
1810.0,961,5862.202741
1500.0,753,5875.536809
730.0,321,5881.202086
1560.0,914,5897.250345
1470.0,520,5906.324931
1680.0,770,5919.777147
730.0,381,5926.159758
1300.0,409,5931.459438
1130.0,390,5940.495363
2350.0,1447,6058.731859
1910.0,960,6082.117188
1300.0,527,6095.004181
1320.0,906,6117.318032
930.0,468,6128.657143
1080.0,436,6139.160148
1320.0,1251,6169.650268
1280.0,805,6189.262221
1500.0,910,6253.026952
1080.0,545,6264.89713
880.0,462,6275.011142
730.0,303,6281.543925
560.0,338,6288.82261
780.0,434,6298.412899
1710.0,599,6311.652487
1650.0,671,6326.937222
1350.0,1161,6355.561575
1030.0,770,6374.462399
1950.0,837,6395.026236
1440.0,893,6471.493143
1030.0,446,6482.456995
1030.0,522,6495.102216
1300.0,447,6505.990125
930.0,491,6518.084038
580.0,379,6526.861744
930.0,430,6536.393921
680.0,364,6544.431554
1660.0,900,6565.011077
930.0,563,6577.846275
1180.0,707,6594.733727
1080.0,345,6603.011055
1300.0,637,6709.688886
1280.0,631,6724.904011
880.0,472,6736.305726
930.0,352,6744.637537
1280.0,947,6767.92678
1300.0,814,6787.256476
880.0,288,6793.500896
1080.0,516,6804.896815
1610.0,622,6818.951893
1180.0,584,6833.059483
2100.0,866,6919.918342
610.0,267,6926.246698
1910.0,966,6950.005248
1610.0,633,6965.48343
1630.0,762,6984.332015
830.0,406,6994.008514
930.0,612,7008.893399
1470.0,727,7026.130255
730.0,427,7035.488255
980.0,350,7043.093828
2100.0,637,7057.512162
1710.0,768,7148.108932
1180.0,729,7165.746473
530.0,333,7173.641373
680.0,283,7180.404998
1370.0,576,7194.237513
1560.0,659,7210.123945
1690.0,615,7224.947591
1280.0,1105,7251.999399
1810.0,678,7267.804105
830.0,443,7277.958914
1320.0,818,7338.58328
1660.0,426,7348.858613
1320.0,470,7360.268684
930.0,473,7371.711241
1300.0,703,7388.864177
1080.0,402,7398.520875
1660.0,458,7409.713309
480.0,294,7416.690018
1510.0,1193,7446.118965
1300.0,589,7460.59059
1280.0,1137,7520.093718
1510.0,656,7535.071632
1080.0,477,7545.851825
1830.0,748,7564.001185
1490.0,546,7577.347853
780.0,325,7585.263366
1780.0,914,7607.795556
780.0,269,7614.159416
1930.0,593,7628.46507
1540.0,980,7652.329586
880.0,439,7662.913267
1130.0,582,7719.330134
980.0,414,7729.333145
1340.0,618,7744.398885
1390.0,544,7756.949423
1320.0,835,7775.721387
1280.0,990,7798.733439
1180.0,598,7813.425311
930.0,416,7823.553919
1810.0,730,7841.456207
2100.0,760,7859.939414
830.0,292,7926.596293
1300.0,546,7940.017138
1320.0,830,7960.177679
1630.0,513,7972.617831
930.0,332,7980.426491
1610.0,551,7993.686814
980.0,367,8001.868777
730.0,325,8009.137555
530.0,280,8015.208175
1930.0,714,8031.484328
430.0,350,8039.801192
1280.0,737,8057.866183
1080.0,460,8069.29019
1300.0,832,8132.161501
1760.0,622,8147.469118
1180.0,327,8155.235728
1080.0,384,8164.455657
1520.0,818,8184.760106
1180.0,442,8195.592273
2030.0,651,8211.512378
1510.0,661,8227.926059
1130.0,446,8238.348371
930.0,408,8247.656991
1620.0,523,8259.231102
880.0,328,8265.759385
1030.0,465,8323.285362
1880.0,469,8330.012577
1300.0,649,8345.936884
1930.0,1395,8380.282188
1180.0,694,8397.315304
1660.0,934,8420.207043
730.0,280,8426.977698
1080.0,248,8433.019614
2250.0,1083,8459.048776
1780.0,596,8513.864658
1400.0,750,8532.501272
1420.0,876,8554.034353
1530.0,638,8569.590782
1900.0,1061,8595.898586
1300.0,629,8611.153067
1300.0,1063,8637.26103
1980.0,910,8659.463063
1610.0,666,8744.545243
1180.0,490,8755.580854
1180.0,325,8763.472277
2180.0,808,8783.3062
680.0,360,8791.997545
980.0,411,8802.001525
810.0,251,8807.919566
880.0,340,8816.154574
2350.0,819,8836.213413
1510.0,412,8846.269747
780.0,471,8857.688357
930.0,416,8867.819876
780.0,320,8875.474882
1180.0,387,8884.777344
1080.0,768,8961.433039
1340.0,719,8977.790467
1300.0,438,8987.665269
2280.0,919,9009.353315
630.0,249,9015.314421
1030.0,292,9022.257555
830.0,285,9029.039084
1540.0,501,9041.208026
1810.0,996,9065.79845
1390.0,731,9083.565761
830.0,361,9092.236845
