# {"t_start": 1680491415.4855418, "env_id": "AsteroidsNoFrameskip-v4"} 
r,l,t
1530.0,1467,49.252165
1350.0,1425,93.324006
1280.0,675,113.991892
1590.0,1611,163.454607
580.0,458,179.360217
1280.0,797,289.729891
1180.0,825,315.066824
2530.0,1343,356.033843
930.0,822,381.238127
1080.0,382,392.761755
1480.0,1181,428.569209
780.0,515,443.739303
1590.0,779,466.931818
780.0,456,586.650439
1280.0,663,606.675963
1080.0,417,618.920922
630.0,382,630.137367
1130.0,639,648.844933
1340.0,701,669.929121
1350.0,639,689.315808
830.0,693,710.493089
1630.0,982,740.721106
480.0,383,752.451549
630.0,505,767.941433
1600.0,756,881.207915
1300.0,828,906.299153
1480.0,671,926.728357
1030.0,382,938.230819
1080.0,451,952.103669
730.0,414,964.736783
980.0,488,979.723404
680.0,473,994.083039
1490.0,1165,1029.835929
1280.0,930,1057.743347
830.0,564,1177.656051
780.0,364,1188.769422
780.0,466,1202.959727
930.0,576,1220.537692
880.0,510,1236.05164
680.0,332,1246.239178
1340.0,1316,1286.082069
1540.0,916,1313.345654
830.0,491,1327.737071
680.0,460,1341.555049
1760.0,653,1415.204673
1760.0,532,1431.257597
1460.0,904,1458.614206
1320.0,1423,1500.967941
1490.0,856,1526.586506
1080.0,611,1545.173542
1710.0,697,1566.498292
1980.0,1024,1598.071708
1370.0,796,1726.79142
1730.0,778,1749.638937
680.0,529,1765.474492
2080.0,673,1785.882588
1650.0,817,1810.647816
1080.0,649,1830.491259
880.0,400,1842.424332
730.0,379,1853.647697
1280.0,473,1867.859026
1350.0,1019,1948.533216
780.0,404,1957.323386
1590.0,1171,1983.28618
630.0,408,1992.008689
1080.0,700,2007.419098
1300.0,587,2025.033735
980.0,627,2044.240101
1490.0,814,2069.311155
1680.0,796,2093.796286
980.0,599,2111.995325
1180.0,921,2190.363013
2650.0,2006,2250.371825
1280.0,653,2270.105231
1370.0,799,2294.094836
1610.0,669,2314.338115
530.0,386,2325.886322
1340.0,610,2344.334768
730.0,352,2354.843015
980.0,453,2422.353682
1280.0,586,2439.714867
730.0,386,2450.986271
1480.0,1199,2486.960162
1660.0,632,2505.968908
1280.0,1239,2543.937401
3200.0,1149,2578.273442
630.0,417,2590.500144
830.0,569,2697.868083
1510.0,812,2721.533402
1580.0,1035,2754.500842
1180.0,690,2779.7313
1680.0,1207,2823.280924
780.0,351,2835.745824
1180.0,831,2865.894209
1410.0,1331,3012.01251
1700.0,686,3032.728117
1910.0,917,3060.457024
1490.0,883,3086.983335
1810.0,1051,3118.911416
680.0,458,3132.536512
2100.0,821,3156.77252
930.0,551,3172.617296
1350.0,702,3188.382383
1850.0,856,3278.574945
1280.0,633,3289.089149
1900.0,952,3304.105685
1030.0,386,3310.130351
480.0,347,3315.481125
1130.0,726,3326.799646
780.0,465,3333.927121
1180.0,683,3344.652201
1640.0,842,3358.057739
1180.0,813,3433.463792
780.0,695,3444.126553
1690.0,886,3457.807086
730.0,504,3465.680837
880.0,581,3474.873294
1340.0,740,3487.009305
1350.0,1064,3504.86643
1420.0,797,3518.037388
1830.0,1359,3604.513637
1600.0,955,3620.658502
1460.0,839,3634.822348
1450.0,968,3650.970829
930.0,360,3656.821589
1280.0,866,3671.037781
1080.0,419,3677.664095
1300.0,909,3691.761834
1080.0,602,3766.035095
680.0,456,3773.580329
1180.0,490,3781.684582
630.0,554,3790.928977
440.0,407,3797.629232
730.0,601,3806.980203
3050.0,1185,3825.302731
1710.0,1065,3841.888217
1690.0,1021,3857.727888
1300.0,1245,3942.549283
830.0,378,3948.441474
530.0,457,3955.552094
2230.0,1181,3974.419284
1300.0,836,3986.925719
1590.0,1430,4010.628737
680.0,412,4017.56513
730.0,410,4024.275216
930.0,493,4032.493296
680.0,450,4105.016739
1660.0,734,4116.938007
710.0,399,4123.497772
980.0,598,4133.454722
630.0,396,4139.911538
1710.0,918,4155.158981
1850.0,836,4169.100529
1180.0,633,4179.602984
2000.0,1164,4198.01225
1440.0,726,4237.049652
1280.0,747,4249.094162
1570.0,966,4265.070387
1370.0,573,4274.433472
1130.0,488,4282.433578
1080.0,669,4293.718933
1730.0,647,4304.598754
1540.0,1020,4321.154586
1300.0,751,4333.092294
1950.0,951,4414.521136
1080.0,406,4421.009749
1750.0,795,4434.513472
730.0,327,4439.865961
580.0,413,4446.300746
2250.0,899,4460.351445
1340.0,557,4469.00103
830.0,419,4475.386959
1280.0,1100,4492.399103
1180.0,743,4536.753601
1610.0,741,4549.377482
1080.0,568,4558.859453
1540.0,920,4573.923287
1130.0,666,4584.526464
1590.0,720,4595.97249
1180.0,645,4606.259289
2100.0,1070,4623.12533
1280.0,571,4632.638796
1350.0,513,4677.798066
830.0,412,4684.652872
1690.0,612,4694.282184
530.0,374,4699.986795
1420.0,765,4711.963723
1370.0,927,4726.365573
1640.0,992,4741.635014
980.0,463,4748.999437
1710.0,747,4761.464552
680.0,463,4769.094588
1780.0,846,4808.262678
830.0,383,4814.72232
1640.0,890,4829.180413
1280.0,720,4840.148732
1320.0,1473,4863.306235
1300.0,862,4877.03153
1560.0,1099,4895.494973
1320.0,854,4946.678607
1320.0,1141,4964.546467
730.0,389,4970.564327
1830.0,1014,4986.543828
830.0,380,4992.431643
1080.0,572,5001.379061
1590.0,724,5013.310809
2080.0,852,5027.491401
1540.0,989,5083.438137
1610.0,703,5094.631797
1180.0,576,5104.393299
1280.0,415,5111.15115
1350.0,859,5125.783089
1030.0,473,5133.581287
1480.0,780,5146.57707
830.0,356,5152.410552
680.0,282,5156.881809
880.0,477,5164.89331
1900.0,677,5175.658852
1830.0,932,5229.552357
930.0,428,5236.553011
980.0,379,5242.690548
1630.0,1351,5264.62822
980.0,334,5269.254432
1690.0,793,5280.547889
1700.0,752,5292.754189
1320.0,701,5304.589485
1460.0,1424,5359.324744
1030.0,391,5365.237622
1280.0,987,5380.795379
610.0,422,5387.548829
2080.0,711,5399.297401
1380.0,718,5411.222781
1980.0,1086,5429.088572
1630.0,632,5439.500798
1280.0,837,5452.877622
1080.0,742,5491.916223
1780.0,637,5502.565426
1280.0,1051,5520.284937
1300.0,703,5532.062729
1350.0,785,5544.959514
830.0,290,5549.651362
1320.0,394,5555.852243
1280.0,1030,5571.810237
1080.0,486,5579.48581
1500.0,725,5613.801796
460.0,449,5621.324144
