# {"t_start": 1680587327.68234, "env_id": "BerzerkNoFrameskip-v4"} 
r,l,t
100.0,146,4.369972
250.0,390,9.408999
50.0,148,11.339395
150.0,239,14.416716
0.0,191,16.778815
200.0,200,19.554937
150.0,290,23.558726
200.0,275,27.653609
0.0,194,30.880536
200.0,309,36.010979
150.0,197,39.109716
100.0,171,41.732716
200.0,292,46.430455
400.0,1142,65.339043
150.0,196,68.61015
200.0,278,73.382142
400.0,327,78.873672
250.0,236,82.815762
400.0,253,86.898773
250.0,380,93.287054
100.0,186,96.503832
50.0,217,100.029676
350.0,403,149.832222
300.0,331,154.677181
300.0,307,158.950844
150.0,319,163.523715
150.0,280,167.568119
150.0,241,171.111146
500.0,366,176.391768
300.0,338,181.272995
200.0,238,184.971127
50.0,313,190.188051
200.0,220,193.831967
350.0,315,199.19913
350.0,510,208.061757
500.0,428,215.250139
250.0,317,220.58287
350.0,386,226.882286
200.0,276,231.351153
200.0,267,235.575613
250.0,306,240.31364
450.0,440,302.147224
200.0,292,306.116352
300.0,370,311.157976
250.0,367,316.182903
250.0,400,321.71731
100.0,201,324.518756
250.0,544,332.901914
450.0,389,339.013978
670.0,1122,357.022514
510.0,799,369.7871
500.0,428,376.515029
400.0,411,383.071584
350.0,271,387.199441
350.0,290,391.654434
500.0,484,434.189816
400.0,661,443.892487
500.0,417,449.95655
450.0,447,456.225621
600.0,588,464.573724
550.0,532,472.498764
500.0,409,478.727813
590.0,562,487.850081
450.0,697,499.300144
500.0,656,509.965538
350.0,470,517.775146
450.0,555,527.098459
650.0,1221,595.788059
500.0,475,603.957402
650.0,607,614.543598
250.0,462,622.403423
700.0,864,637.167783
600.0,860,651.679028
760.0,550,660.911704
750.0,662,671.735985
600.0,749,683.654869
450.0,718,756.724681
770.0,854,770.782055
400.0,860,784.39362
650.0,848,798.042866
600.0,775,810.536123
680.0,831,824.045501
500.0,707,835.791687
450.0,659,846.434744
450.0,783,925.696529
700.0,545,934.406623
450.0,427,941.320917
550.0,468,948.921554
500.0,483,956.630545
710.0,608,966.481341
960.0,1244,986.102947
600.0,476,992.824164
750.0,1510,1013.517099
650.0,1143,1088.790736
850.0,1075,1103.170737
450.0,656,1111.973802
650.0,1824,1137.841121
650.0,711,1147.868928
450.0,614,1156.103934
500.0,777,1246.226932
690.0,738,1256.598442
600.0,847,1268.337826
600.0,679,1277.386544
450.0,611,1286.068443
700.0,726,1296.412208
450.0,587,1304.827417
550.0,1183,1321.778116
800.0,709,1387.670985
770.0,990,1401.7564
600.0,500,1408.600942
700.0,919,1421.403896
