# {"t_start": 1680454745.2148979, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
1600.0,435,13.173326
740.0,418,21.181439
680.0,383,27.940372
460.0,429,35.978784
1140.0,309,41.536911
480.0,358,48.390477
1000.0,374,55.61586
440.0,359,62.851599
420.0,427,73.707163
420.0,431,85.3143
340.0,429,96.647178
360.0,467,109.691451
580.0,440,121.906816
640.0,468,135.239672
1040.0,421,147.313856
580.0,308,250.537972
400.0,421,259.809099
1160.0,744,275.862486
880.0,409,284.590389
440.0,372,293.227241
420.0,289,300.42543
540.0,383,309.441705
540.0,369,318.297859
500.0,383,327.639794
860.0,401,337.103811
1220.0,833,357.182658
840.0,515,369.494929
840.0,368,378.518558
740.0,421,389.392764
480.0,406,491.802248
840.0,435,501.614986
560.0,400,511.25925
1420.0,412,521.979178
480.0,398,532.58663
440.0,351,541.768878
420.0,424,553.365461
620.0,395,564.278869
540.0,406,575.684597
1060.0,438,588.048441
640.0,318,596.851739
1340.0,412,608.278387
680.0,407,619.50529
940.0,417,630.062615
1080.0,420,640.870212
1120.0,385,650.2372
440.0,425,731.336973
1720.0,412,742.19216
620.0,346,751.321927
540.0,360,760.822135
720.0,391,771.146133
1560.0,412,781.974879
1540.0,420,793.066406
740.0,374,803.093508
340.0,405,813.36562
1480.0,427,823.939945
1340.0,425,835.023848
1820.0,406,845.403865
1880.0,378,855.252658
3900.0,389,865.336599
1680.0,432,875.716123
2660.0,409,945.58108
1300.0,309,953.424955
780.0,391,963.350628
680.0,355,973.293102
1080.0,401,984.549915
1740.0,315,993.291521
3220.0,427,1004.350273
2560.0,421,1014.360154
1480.0,355,1023.239923
3080.0,416,1033.629512
2240.0,326,1041.830538
2740.0,427,1052.248086
2080.0,400,1062.189372
3880.0,407,1072.503848
2680.0,399,1082.63756
3280.0,417,1093.30993
3320.0,415,1103.839597
2620.0,441,1158.681665
2740.0,428,1168.039937
3340.0,359,1175.961145
2140.0,401,1184.956825
2140.0,314,1192.32601
3820.0,425,1202.609049
2480.0,406,1212.67148
1940.0,341,1221.638961
2680.0,395,1232.163163
3240.0,434,1243.668605
940.0,424,1254.562068
3340.0,431,1265.954107
2680.0,433,1277.306084
2040.0,390,1287.561224
2320.0,413,1298.618289
2680.0,433,1361.922658
2640.0,394,1371.107476
3880.0,423,1380.726578
3280.0,419,1390.01044
2740.0,387,1398.54714
4460.0,408,1408.339098
2740.0,416,1418.502619
3280.0,350,1427.044853
2320.0,315,1434.847752
2120.0,405,1444.674398
2680.0,421,1454.636965
1280.0,416,1463.966212
2660.0,422,1473.413882
2620.0,386,1482.232551
2080.0,429,1492.099837
3340.0,290,1498.536511
3340.0,350,1539.422468
3240.0,425,1549.618306
2140.0,435,1558.79734
4140.0,289,1564.997481
3280.0,403,1573.794033
3260.0,421,1583.330993
2740.0,431,1593.967906
2140.0,413,1604.050833
3940.0,415,1614.975102
2140.0,419,1626.049465
2080.0,395,1636.528425
3240.0,405,1647.039848
2080.0,420,1657.783952
2740.0,416,1668.271345
2680.0,290,1675.412697
3280.0,427,1686.144349
1340.0,425,1738.272204
2940.0,426,1748.820079
3340.0,401,1758.431906
2740.0,416,1768.238924
3260.0,386,1776.203386
3160.0,395,1784.36248
2640.0,403,1792.515164
3880.0,406,1800.579762
3880.0,426,1808.856103
3940.0,407,1816.86444
3280.0,416,1824.6239
4040.0,296,1830.900089
2600.0,421,1839.829922
2680.0,410,1848.70853
2080.0,379,1856.95069
2680.0,434,1866.837474
2660.0,415,1922.139278
1620.0,417,1931.854837
3340.0,425,1941.82647
3220.0,421,1952.272605
3300.0,449,1964.095609
3340.0,410,1974.786543
3840.0,416,1984.090652
1260.0,389,1993.202401
4590.0,292,2000.131982
2680.0,377,2009.214878
3260.0,376,2018.174098
2140.0,412,2027.858443
2640.0,422,2037.984877
3900.0,308,2045.666448
3340.0,416,2056.013367
3700.0,433,2160.57143
3900.0,420,2170.574134
3280.0,406,2180.382938
3340.0,422,2190.564152
1020.0,429,2200.818427
1940.0,422,2209.782473
3280.0,402,2218.530237
2340.0,424,2228.232061
3940.0,400,2237.323028
3220.0,387,2246.017117
2740.0,392,2255.16453
3300.0,423,2264.807925
3900.0,411,2274.752458
3220.0,479,2287.025723
2700.0,399,2297.266366
3320.0,422,2372.642306
3900.0,395,2384.067689
3280.0,298,2392.658065
3280.0,348,2402.722648
1940.0,372,2412.723004
2680.0,362,2422.29095
2700.0,400,2432.226286
2660.0,406,2441.762209
3340.0,401,2451.290456
3920.0,398,2460.762985
4220.0,473,2472.375645
3280.0,403,2482.346288
3340.0,371,2491.392087
2740.0,409,2501.519528
4480.0,423,2511.623508
3300.0,318,2519.532147
3280.0,401,2529.427848
2740.0,408,2587.080686
3140.0,407,2598.035863
2100.0,412,2609.069078
3260.0,408,2619.949094
3340.0,406,2630.442007
3990.0,291,2638.003367
2740.0,417,2648.914569
4240.0,239,2655.466124
3840.0,239,2661.576856
2100.0,317,2669.154032
2740.0,389,2678.516757
2740.0,371,2686.9182
3280.0,338,2694.696085
3280.0,402,2703.778667
3940.0,427,2713.291251
2740.0,349,2721.137188
3940.0,369,2729.846296
2140.0,405,2785.274338
1360.0,440,2797.940788
3820.0,410,2809.875008
2740.0,396,2821.21689
2580.0,415,2833.169847
2740.0,410,2844.397094
3940.0,360,2854.518012
2580.0,430,2866.249585
3440.0,296,2874.314861
3280.0,419,2885.293775
3940.0,400,2895.784084
3920.0,314,2904.249794
2740.0,414,2914.916281
3340.0,362,2923.481419
3300.0,412,2932.935878
4500.0,405,2942.368847
3300.0,408,2997.532214
3880.0,415,3008.782943
2080.0,389,3019.28481
3690.0,235,3025.353134
3940.0,359,3034.765463
3260.0,425,3045.800487
3280.0,360,3055.011586
3240.0,410,3065.181249
3320.0,421,3075.629735
3280.0,401,3085.698584
3240.0,395,3095.249106
4420.0,420,3105.35989
2020.0,422,3115.890841
2740.0,416,3126.329245
3220.0,412,3137.006356
3860.0,385,3146.951741
2740.0,377,3204.687132
3880.0,396,3215.090968
2140.0,353,3224.34006
3340.0,401,3235.464827
3340.0,420,3246.563992
3340.0,356,3255.910253
3280.0,347,3265.100247
3320.0,420,3276.179595
3220.0,387,3286.520876
3320.0,378,3296.86197
3990.0,289,3304.835363
2740.0,401,3315.825688
3220.0,413,3327.727879
2680.0,395,3338.957145
3880.0,419,3350.363753
3790.0,349,3359.857285
3280.0,385,3414.911263
2640.0,426,3425.097237
3200.0,354,3433.460612
2680.0,415,3442.806693
3760.0,410,3451.81215
3940.0,352,3459.383587
3280.0,396,3468.166691
3880.0,390,3477.735758
3890.0,235,3483.663284
3340.0,349,3492.39703
3300.0,423,3502.944987
3260.0,415,3513.331916
4620.0,427,3523.911713
2680.0,412,3534.265722
3300.0,421,3544.730083
3940.0,404,3554.759365
3280.0,365,3564.120345
3340.0,392,3620.812912
3940.0,363,3629.664743
3280.0,372,3638.718014
4690.0,277,3645.183607
4640.0,291,3652.592737
2740.0,387,3662.795528
3340.0,380,3672.838387
3980.0,434,3684.476961
2120.0,412,3695.310101
3280.0,415,3706.14165
