# {"t_start": 1680491335.431436, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
940.0,419,9.413788
540.0,408,14.680337
980.0,381,20.835346
760.0,511,29.108904
660.0,859,44.205525
900.0,351,50.791194
540.0,453,59.956491
1440.0,606,71.794147
980.0,362,78.9059
940.0,374,86.054374
520.0,321,92.225621
800.0,479,100.804596
1140.0,828,210.024713
280.0,820,224.548837
980.0,360,230.000602
580.0,456,237.171418
660.0,361,242.921979
880.0,411,249.465536
480.0,422,255.913074
540.0,411,262.135625
480.0,404,267.84398
640.0,427,274.865575
480.0,406,281.961561
480.0,388,288.933483
820.0,412,295.746346
380.0,303,300.519108
640.0,422,307.224514
640.0,321,400.487555
640.0,431,409.072655
440.0,395,416.943351
1920.0,443,424.308083
840.0,305,429.456392
500.0,435,436.732512
1100.0,383,443.730553
1260.0,547,453.979595
960.0,535,464.251296
700.0,427,472.499028
1000.0,411,480.596899
1040.0,446,489.173543
500.0,317,494.94766
760.0,445,503.265435
900.0,443,510.9079
880.0,444,609.815049
100.0,417,617.324459
1240.0,437,625.434699
1220.0,663,637.678313
940.0,404,645.424931
1000.0,541,655.441197
620.0,389,662.585371
740.0,496,672.053545
860.0,791,685.427944
820.0,389,692.185612
520.0,409,699.295507
760.0,385,706.116738
860.0,314,711.689208
580.0,410,783.108185
840.0,365,790.482584
1100.0,325,796.967279
920.0,327,803.599301
480.0,362,810.643737
1880.0,432,818.860382
840.0,364,825.849346
1140.0,471,835.057817
960.0,516,845.826606
680.0,362,853.423145
1200.0,881,871.671374
820.0,356,878.758746
820.0,362,885.947489
620.0,356,893.399808
420.0,381,901.26597
520.0,385,909.02651
1400.0,395,997.231885
760.0,451,1004.922574
1100.0,366,1011.566027
440.0,440,1019.895501
460.0,442,1028.746093
920.0,518,1039.069778
920.0,358,1046.258669
1440.0,472,1055.697489
920.0,441,1064.314513
500.0,335,1070.465886
540.0,506,1079.807972
1080.0,520,1089.491642
480.0,348,1096.040018
780.0,336,1102.422573
740.0,401,1190.761986
880.0,367,1196.829263
700.0,465,1204.539273
760.0,420,1211.574315
880.0,529,1220.186599
860.0,472,1228.560698
640.0,417,1236.001414
760.0,369,1242.630139
760.0,463,1250.871542
1440.0,823,1266.557155
860.0,339,1273.582167
900.0,329,1280.533939
840.0,1021,1301.803341
1080.0,523,1402.219974
900.0,465,1409.853368
1380.0,321,1415.559494
760.0,413,1422.833479
440.0,367,1429.050094
1180.0,427,1436.16561
580.0,482,1444.251748
620.0,401,1451.345245
600.0,429,1459.068786
1140.0,509,1468.2244
1320.0,454,1476.462976
360.0,405,1483.188091
1100.0,550,1492.572293
1020.0,581,1502.556813
860.0,514,1575.765718
980.0,351,1581.409682
900.0,401,1587.67226
1100.0,442,1594.737832
680.0,397,1601.07075
