# {"t_start": 1680491366.2130456, "env_id": "FreewayNoFrameskip-v4"} 
r,l,t
0.0,2044,49.217515
0.0,2041,90.375567
0.0,2044,133.998632
0.0,2044,369.854002
0.0,2043,409.241779
0.0,2046,451.882527
0.0,2046,698.634682
0.0,2044,729.713032
0.0,2042,769.532715
0.0,2046,1024.505042
0.0,2042,1066.331688
0.0,2043,1107.83654
0.0,2047,1359.385157
0.0,2041,1396.608444
0.0,2048,1433.898272
0.0,2042,1683.522192
0.0,2042,1722.570897
0.0,2047,1763.131987
0.0,2044,2002.5356
0.0,2047,2045.006199
0.0,2043,2088.448528
0.0,2048,2333.487887
0.0,2042,2375.450067
0.0,2044,2410.233098
0.0,2046,2650.507683
0.0,2045,2683.012337
0.0,2042,2723.478234
0.0,2041,2970.40758
0.0,2042,3009.960779
0.0,2046,3049.30757
0.0,2042,3290.153002
0.0,2047,3334.391494
0.0,2041,3375.604305
0.0,2047,3596.156783
0.0,2045,3637.574935
0.0,2048,3679.481573
0.0,2044,3910.274865
0.0,2044,3948.313658
0.0,2042,3987.455778
0.0,2043,4231.382844
0.0,2041,4265.595103
0.0,2045,4295.73388
0.0,2043,4539.09447
0.0,2045,4571.106431
0.0,2045,4609.083675
0.0,2042,4853.752672
0.0,2041,4896.739666
0.0,2046,4938.201721
0.0,2044,5168.458057
0.0,2044,5205.185778
0.0,2043,5242.822238
0.0,2045,5472.220291
0.0,2045,5508.132853
0.0,2046,5547.963961
0.0,2041,5587.163343
0.0,2044,5814.751699
0.0,2045,5846.20009
0.0,2047,5886.090986
0.0,2045,6123.542546
0.0,2044,6160.138229
0.0,2046,6195.528432
0.0,2047,6437.217365
0.0,2045,6469.055934
0.0,2042,6504.816427
0.0,2047,6745.118397
0.0,2047,6791.947473
0.0,2044,6837.728938
0.0,2041,7058.318355
0.0,2041,7100.380019
0.0,2044,7144.787813
0.0,2041,7378.540166
0.0,2043,7418.404838
0.0,2041,7457.327037
0.0,2045,7690.808509
0.0,2042,7730.947068
0.0,2047,7766.143414
0.0,2046,8004.540146
0.0,2044,8041.365041
0.0,2047,8077.01708
0.0,2042,8313.780809
0.0,2041,8347.699747
0.0,2042,8382.249738
0.0,2044,8618.600339
0.0,2041,8656.928058
0.0,2045,8696.016823
0.0,2045,8925.292213
0.0,2043,8961.930302
0.0,2046,8999.911651
0.0,2048,9231.970289
0.0,2048,9270.20414
0.0,2041,9309.830361
0.0,2042,9544.886537
0.0,2044,9583.277018
0.0,2045,9620.429267
0.0,2043,9855.317539
0.0,2048,9894.877312
0.0,2046,9932.986911
0.0,2047,10162.819277
0.0,2044,10207.53401
0.0,2047,10243.170133
0.0,2045,10466.469805
0.0,2045,10508.475472
0.0,2048,10545.734941
0.0,2047,10759.541425
0.0,2046,10792.367652
0.0,2048,10828.144051
0.0,2047,10863.004932
0.0,2042,11075.825342
0.0,2048,11105.698026
0.0,2047,11141.360249
0.0,2044,11365.698026
0.0,2043,11403.43004
0.0,2044,11442.149582
0.0,2047,11693.739402
0.0,2041,11738.714011
0.0,2042,11779.797059
0.0,2046,12026.139636
0.0,2042,12069.776136
0.0,2042,12108.844648
0.0,2046,12351.019635
0.0,2046,12393.825362
0.0,2046,12435.661134
0.0,2045,12689.809594
0.0,2046,12729.332482
0.0,2045,12766.088702
0.0,2041,13022.792512
0.0,2044,13057.779986
0.0,2048,13097.35591
0.0,2048,13342.592137
0.0,2044,13382.372375
0.0,2046,13425.534752
0.0,2043,13678.771174
0.0,2047,13724.161552
0.0,2041,13760.365977
0.0,2047,14001.702749
0.0,2041,14042.866575
0.0,2044,14084.281272
0.0,2045,14327.469008
0.0,2044,14371.296849
0.0,2044,14410.955753
0.0,2046,14651.896967
0.0,2045,14685.120937
0.0,2043,14722.877123
0.0,2046,14967.814214
0.0,2046,15007.679635
0.0,2042,15049.363447
0.0,2047,15300.198417
0.0,2046,15341.14124
0.0,2046,15384.650384
0.0,2046,15637.951919
0.0,2048,15676.337701
0.0,2046,15707.646506
0.0,2041,15957.801981
0.0,2043,15999.676805
0.0,2043,16039.151772
0.0,2047,16285.796176
0.0,2047,16332.72045
0.0,2042,16376.713965
0.0,2048,16617.21014
0.0,2043,16655.570946
0.0,2041,16701.566541
0.0,2041,16745.456012
0.0,2047,16992.043742
0.0,2046,17028.700934
0.0,2043,17068.310439
0.0,2046,17316.258129
0.0,2044,17345.032472
0.0,2046,17375.470206
0.0,2047,17609.645225
0.0,2045,17641.651977
0.0,2043,17678.922534
0.0,2042,17910.42075
0.0,2045,17947.628121
0.0,2044,17985.113814
0.0,2048,18213.596159
0.0,2043,18253.057108
0.0,2044,18290.343556
0.0,2042,18511.780407
0.0,2048,18550.612375
0.0,2047,18587.147023
0.0,2043,18808.751663
0.0,2045,18843.76228
0.0,2048,18883.49402
0.0,2041,19110.008324
0.0,2041,19141.059704
0.0,2046,19173.904116
0.0,2044,19403.06435
0.0,2045,19441.455342
0.0,2044,19481.129868
0.0,2048,19704.527016
0.0,2047,19741.871895
0.0,2044,19774.707274
0.0,2042,19986.076802
0.0,2046,20018.098541
0.0,2041,20050.189333
0.0,2041,20254.832637
0.0,2044,20287.541869
0.0,2041,20323.731069
0.0,2044,20530.707937
0.0,2048,20561.233294
0.0,2048,20598.526555
0.0,2043,20813.185165
0.0,2042,20849.113159
0.0,2043,20883.507085
0.0,2048,21099.645578
0.0,2043,21132.38607
0.0,2047,21161.69302
0.0,2044,21364.045274
0.0,2044,21395.233651
0.0,2046,21423.918438
0.0,2044,21617.693859
0.0,2041,21650.588167
0.0,2046,21683.667937
0.0,2044,21879.052311
0.0,2045,21913.189708
0.0,2048,21946.520415
0.0,2048,21977.967632
0.0,2047,22148.172655
0.0,2041,22175.442786
0.0,2046,22205.630391
0.0,2045,22385.046458
0.0,2045,22412.144731
0.0,2048,22435.990396
0.0,2042,22615.811044
0.0,2046,22638.724677
0.0,2044,22661.778943
0.0,2043,22841.695565
0.0,2046,22869.982808
0.0,2045,22897.510437
0.0,2044,23069.009107
0.0,2046,23101.218553
0.0,2044,23133.211068
0.0,2047,23300.272215
0.0,2042,23330.817188
0.0,2045,23361.992674
0.0,2046,23537.887831
0.0,2041,23561.159772
0.0,2048,23583.994657
0.0,2044,23762.45218
0.0,2048,23785.533005
0.0,2046,23810.647552
0.0,2042,23987.87113
0.0,2042,24012.87249
0.0,2047,24037.987956
0.0,2046,24197.768076
0.0,2041,24227.111654
0.0,2047,24251.762101
0.0,2044,24402.348148
0.0,2042,24427.205894
0.0,2047,24452.70845
0.0,2044,24635.419181
0.0,2044,24663.336119
0.0,2041,24693.528556
0.0,2048,24857.118666
0.0,2047,24877.711629
0.0,2042,24897.761902
0.0,2046,25045.690031
0.0,2041,25066.713645
0.0,2044,25087.147406
0.0,2044,25250.162354
0.0,2041,25277.174781
0.0,2042,25304.36503
0.0,2047,25484.565781
0.0,2041,25512.602272
0.0,2044,25540.753597
0.0,2041,25728.017633
0.0,2041,25755.332633
0.0,2042,25782.976849
0.0,2046,25810.191214
0.0,2047,25989.45943
0.0,2042,26015.487617
0.0,2048,26041.035171
0.0,2043,26220.373749
0.0,2048,26246.014113
0.0,2047,26271.90136
0.0,2043,26451.124207
0.0,2041,26476.050554
0.0,2046,26501.018897
0.0,2043,26684.792183
0.0,2044,26711.106805
0.0,2045,26737.699518
0.0,2043,26916.772082
0.0,2046,26942.675035
0.0,2045,26969.279036
0.0,2045,27154.736291
0.0,2043,27180.454188
0.0,2045,27205.582525
0.0,2048,27382.995132
0.0,2043,27407.894336
0.0,2048,27433.127535
0.0,2044,27613.602625
0.0,2045,27639.100573
0.0,2046,27664.364314
0.0,2048,27839.840225
0.0,2045,27866.054521
0.0,2042,27892.361102
0.0,2044,28072.879987
0.0,2042,28098.233495
0.0,2043,28125.069655
0.0,2046,28305.97176
0.0,2046,28331.345086
0.0,2044,28356.430814
0.0,2041,28528.652423
0.0,2047,28553.803636
0.0,2047,28578.648952
