# {"t_start": 1680454803.6788526, "env_id": "FreewayNoFrameskip-v4"} 
r,l,t
0.0,2044,63.255981
0.0,2047,121.417985
0.0,2047,173.120576
0.0,2045,438.153786
0.0,2047,493.554197
0.0,2045,553.320845
0.0,2042,823.653506
0.0,2044,871.902015
0.0,2045,927.985998
0.0,2045,1202.368819
0.0,2045,1257.3168
0.0,2042,1306.942182
0.0,2042,1562.149502
0.0,2043,1615.450326
0.0,2046,1666.509925
0.0,2043,1917.081212
0.0,2046,1967.840467
0.0,2043,2021.351998
0.0,2047,2306.81087
0.0,2045,2368.540788
0.0,2043,2422.391105
0.0,2044,2715.439377
0.0,2042,2777.94032
0.0,2044,2837.367647
0.0,2041,3130.471456
0.0,2045,3187.400407
0.0,2043,3246.060878
0.0,2046,3542.721591
0.0,2043,3596.520976
0.0,2047,3654.335267
0.0,2042,3951.235144
0.0,2042,4014.053886
0.0,2044,4074.680076
0.0,2048,4367.905187
0.0,2044,4429.331137
0.0,2045,4488.303447
0.0,2046,4779.371693
0.0,2044,4833.116741
0.0,2048,4892.46212
0.0,2041,5189.841565
0.0,2048,5247.887984
0.0,2047,5302.974958
0.0,2047,5599.969542
0.0,2045,5661.258215
0.0,2045,5721.374489
0.0,2048,6009.958633
0.0,2041,6071.585517
0.0,2045,6130.723057
0.0,2043,6430.8165
0.0,2042,6486.217458
0.0,2046,6543.272709
0.0,2045,6846.146078
0.0,2041,6904.379554
0.0,2042,6959.582654
0.0,2043,7017.693094
0.0,2048,7314.147501
0.0,2044,7375.118482
0.0,2044,7427.012389
0.0,2041,7722.78617
0.0,2042,7780.222049
0.0,2041,7839.940856
0.0,2044,8136.21348
0.0,2048,8194.504502
0.0,2048,8256.357349
0.0,2044,8552.071767
0.0,2047,8609.580618
0.0,2044,8663.966605
0.0,2042,8964.001781
0.0,2047,9024.464071
0.0,2044,9080.936152
0.0,2042,9375.841303
0.0,2042,9433.608302
0.0,2045,9494.435149
0.0,2043,9787.603741
0.0,2042,9839.969465
0.0,2041,9897.577063
0.0,2045,10198.689849
0.0,2046,10256.846999
0.0,2044,10313.305907
0.0,2043,10609.987376
0.0,2048,10673.808469
0.0,2041,10732.038579
0.0,2041,11024.153844
0.0,2041,11085.364284
0.0,2043,11147.06618
0.0,2042,11443.147315
0.0,2047,11497.446369
0.0,2045,11555.708692
0.0,2044,11857.491724
0.0,2042,11914.817202
0.0,2047,11964.869968
0.0,2044,12266.830466
0.0,2042,12325.503121
0.0,2044,12384.257559
0.0,2043,12679.391121
0.0,2046,12740.6564
0.0,2046,12802.862761
0.0,2042,13099.4175
0.0,2042,13154.592885
0.0,2045,13210.976646
0.0,2041,13510.82567
0.0,2044,13569.91304
0.0,2043,13628.934347
0.0,2044,13925.15461
0.0,2047,13978.934202
0.0,2048,14037.078541
0.0,2045,14097.265819
0.0,2041,14391.497764
0.0,2046,14448.654874
0.0,2048,14510.568913
0.0,2042,14810.369131
0.0,2047,14867.492546
0.0,2048,14926.122056
0.0,2046,15227.496783
0.0,2041,15285.641083
0.0,2047,15342.400123
0.0,2048,15635.332652
0.0,2043,15695.820964
0.0,2045,15758.46927
0.0,2045,16048.412023
0.0,2048,16107.290239
0.0,2047,16168.41336
0.0,2046,16469.254567
0.0,2048,16523.041505
0.0,2047,16579.530954
0.0,2047,16876.179811
0.0,2041,16937.443563
0.0,2045,16991.690907
0.0,2048,17288.704655
0.0,2047,17348.06686
0.0,2048,17405.866933
1.0,2045,17704.392671
0.0,2048,17758.483955
0.0,2042,17815.661361
