# {"t_start": 1680587350.3979576, "env_id": "FrostbiteNoFrameskip-v4"} 
r,l,t
100.0,444,10.001931
190.0,472,18.016621
70.0,370,24.293567
60.0,381,30.645838
150.0,498,39.340645
30.0,312,44.483658
50.0,403,51.361358
110.0,500,59.939118
90.0,504,68.261449
70.0,426,75.229969
150.0,377,81.35053
60.0,442,88.021881
70.0,429,94.195155
110.0,371,99.507304
140.0,462,106.282852
60.0,418,166.843077
60.0,356,173.031926
70.0,291,178.005371
220.0,524,187.159693
40.0,303,192.244266
70.0,355,198.152794
80.0,361,203.992288
210.0,486,212.103074
190.0,517,220.712502
90.0,337,225.880823
160.0,533,234.085792
90.0,348,239.450018
100.0,382,244.974312
130.0,516,252.658235
80.0,342,257.530188
120.0,492,304.657898
110.0,499,312.930102
160.0,532,322.090371
140.0,445,329.398623
150.0,454,336.84489
230.0,448,344.167995
160.0,479,352.189808
230.0,517,360.652523
190.0,475,368.960632
190.0,453,376.643652
220.0,471,383.65645
200.0,477,390.601091
190.0,510,397.878376
170.0,432,404.170864
220.0,482,446.552467
190.0,470,454.58211
210.0,493,462.504519
190.0,485,470.455599
120.0,338,475.885004
220.0,451,483.312576
170.0,472,491.666987
200.0,445,499.909057
200.0,508,509.339004
160.0,466,517.00724
140.0,407,523.047087
210.0,535,531.499689
210.0,532,540.045031
230.0,482,572.420762
210.0,511,581.396189
220.0,484,590.078041
220.0,444,597.795564
180.0,439,605.288639
140.0,400,611.959628
210.0,474,620.138387
190.0,514,628.921069
200.0,458,636.908379
210.0,580,647.214463
160.0,419,654.448483
230.0,463,662.626213
190.0,469,669.812823
190.0,491,677.368447
210.0,455,735.551603
140.0,394,742.262522
210.0,423,749.509263
220.0,505,758.247502
210.0,465,766.237499
170.0,441,773.765965
230.0,514,782.576792
190.0,442,790.124021
210.0,495,798.545853
210.0,448,806.263069
210.0,438,814.112526
240.0,508,823.151749
210.0,452,830.540145
230.0,579,839.544749
220.0,426,872.424361
250.0,537,880.403877
190.0,442,886.474371
230.0,532,893.85688
200.0,441,900.959489
210.0,444,908.213426
180.0,502,916.358164
190.0,492,924.345399
210.0,470,931.852836
200.0,464,939.568324
210.0,470,947.516288
210.0,560,956.809757
220.0,509,965.702118
250.0,603,4862.418614
260.0,565,4871.1108
210.0,430,4877.206877
160.0,396,4882.777744
240.0,502,4889.990549
210.0,534,4897.978813
240.0,503,4905.354792
200.0,482,4912.232978
200.0,458,4918.52676
210.0,463,4925.050346
220.0,471,4932.029751
180.0,489,4939.321977
200.0,510,4946.613943
220.0,472,4989.634978
210.0,484,4997.910102
240.0,463,5005.734398
200.0,486,5013.830956
200.0,461,5021.796696
210.0,433,5029.14218
200.0,433,5036.373737
210.0,555,5045.364293
220.0,458,5052.246517
220.0,513,5059.898943
220.0,478,5066.972114
240.0,490,5074.225492
200.0,439,5080.587316
200.0,505,5141.487034
210.0,428,5148.452354
200.0,443,5155.92906
200.0,448,5163.670727
210.0,465,5171.654018
210.0,505,5179.789935
210.0,483,5188.13414
220.0,491,5196.407816
200.0,504,5204.964517
240.0,510,5213.804266
210.0,416,5221.168003
230.0,548,5230.897667
230.0,566,5241.111436
210.0,495,5278.049247
210.0,457,5284.238036
220.0,478,5290.798455
200.0,435,5296.975402
210.0,578,5305.257165
210.0,541,5313.450928
180.0,405,5319.605244
210.0,475,5326.794156
210.0,436,5333.251998
190.0,431,5339.583534
200.0,475,5346.474728
200.0,448,5352.849915
190.0,424,5359.515236
220.0,500,5368.192311
220.0,498,5407.004999
210.0,423,5414.243873
220.0,522,5423.210095
220.0,447,5430.605237
210.0,473,5438.534793
250.0,514,5446.911304
200.0,472,5454.449892
210.0,485,5461.931578
180.0,442,5469.191588
190.0,432,5476.112365
240.0,518,5484.115744
210.0,471,5491.274475
230.0,571,5499.286749
210.0,470,5537.130217
240.0,525,5546.040252
220.0,508,5554.210498
210.0,511,5562.669608
230.0,561,5571.925801
250.0,503,5580.444714
240.0,512,5589.275743
270.0,543,5598.090921
230.0,504,5606.24672
200.0,467,5613.79125
230.0,484,5621.604342
220.0,553,5630.567841
250.0,546,5639.292406
210.0,510,5677.400667
240.0,486,5684.287026
210.0,484,5691.163628
170.0,463,5697.645736
240.0,510,5704.855318
220.0,430,5710.974101
230.0,503,5718.406343
230.0,618,5727.677274
230.0,468,5734.364516
250.0,536,5742.157169
220.0,549,5749.965767
220.0,608,5759.097876
210.0,458,5807.85947
250.0,597,5817.565456
250.0,591,5827.195894
260.0,524,5835.746716
250.0,565,5844.986252
220.0,488,5852.227602
210.0,563,5860.031153
180.0,415,5865.929041
250.0,612,5874.404468
240.0,586,5882.700667
230.0,574,5891.073444
230.0,608,5900.243669
250.0,632,5964.167776
240.0,619,5974.439615
250.0,567,5983.808868
230.0,463,5991.717389
220.0,607,6001.111953
200.0,506,6008.547754
240.0,631,6018.097257
250.0,513,6025.722755
260.0,638,6034.897347
250.0,651,6044.636231
250.0,487,6051.909853
240.0,528,6092.653308
270.0,676,6103.870179
250.0,556,6112.88162
240.0,619,6123.016746
240.0,519,6131.591359
270.0,550,6140.481503
270.0,533,6149.088013
260.0,616,6159.022448
230.0,522,6167.439841
220.0,538,6176.268044
210.0,513,6184.95079
130.0,482,12022.329842
240.0,664,12036.033775
250.0,623,12049.037474
250.0,551,12060.844806
240.0,582,12072.896906
250.0,567,12084.810484
250.0,544,12096.060361
260.0,520,12106.638653
240.0,522,12117.359206
260.0,567,12129.667424
260.0,571,12142.151778
240.0,554,12211.675924
240.0,525,12224.342461
260.0,590,12238.365025
240.0,560,12251.174622
230.0,623,12265.736495
250.0,497,12277.251672
260.0,552,12289.89143
230.0,459,12301.072744
210.0,556,12312.601073
250.0,529,12323.859543
230.0,524,12334.873352
200.0,437,12343.933268
250.0,589,12409.523167
260.0,582,12422.288388
270.0,529,12433.305387
250.0,615,12445.326223
270.0,538,12455.975486
270.0,597,12468.369175
230.0,562,12481.337163
240.0,573,12494.609596
270.0,568,12508.007734
240.0,565,12521.194889
270.0,586,12535.086827
230.0,476,12545.509742
270.0,525,12614.841912
260.0,647,12628.516079
240.0,552,12639.802563
270.0,541,12650.706204
270.0,576,12662.52765
270.0,547,12674.907974
270.0,620,12689.339211
240.0,584,12703.041153
260.0,516,12715.330679
210.0,482,12726.562904
270.0,601,12740.437021
250.0,541,12780.415188
250.0,560,12792.495102
240.0,490,12802.088543
260.0,551,12813.329519
260.0,512,12823.944293
260.0,563,12836.299808
260.0,570,12849.013299
260.0,507,12859.570516
250.0,530,12871.018377
270.0,535,12882.107484
270.0,548,12894.654332
270.0,523,12906.326654
260.0,571,12978.414354
270.0,553,12991.944078
220.0,479,13003.300739
260.0,551,13015.962074
270.0,577,13029.815592
270.0,540,13042.090447
260.0,628,13056.556908
230.0,529,13068.144699
260.0,562,13080.278334
240.0,588,13092.964158
220.0,541,13104.420284
240.0,480,13114.407104
260.0,617,13209.639542
260.0,608,13223.594318
270.0,539,13235.821794
240.0,498,13247.141643
270.0,566,13259.819887
250.0,605,13273.739027
250.0,526,13285.912026
250.0,532,13298.168404
270.0,576,13311.346217
270.0,520,13323.759358
270.0,523,13335.838997
250.0,599,13396.708056
270.0,614,13409.457197
260.0,549,13420.561247
270.0,615,13433.594754
270.0,714,13449.430776
240.0,484,13460.069097
270.0,735,13477.316431
270.0,665,13491.263343
250.0,516,13502.165344
240.0,556,13514.150797
240.0,526,13525.231669
240.0,465,13599.282441
260.0,553,13611.345312
240.0,473,13621.848175
290.0,568,13634.091424
230.0,464,13644.109237
270.0,536,13655.315365
270.0,607,13667.241087
270.0,595,13678.535373
