# {"t_start": 1680795918.217237, "env_id": "JourneyEscapeNoFrameskip-v4"} 
r,l,t
-20300.0,732,15.217399
-21600.0,733,24.020817
-32600.0,731,32.885994
-16300.0,732,42.213737
-23700.0,735,51.547457
-7500.0,735,60.778621
-6800.0,732,69.769935
-10100.0,731,78.876817
-8300.0,736,143.770686
-23100.0,736,153.374635
-9900.0,737,162.810473
-14200.0,734,172.332907
-23400.0,732,181.907828
-12300.0,731,191.689959
-11400.0,735,201.488536
-17600.0,732,211.139881
-18800.0,733,220.797629
-16700.0,735,288.310099
-7300.0,733,297.678177
5600.0,737,307.098257
-5700.0,736,316.522005
-9600.0,734,325.923264
-10800.0,736,335.211968
-17600.0,732,344.448764
-7100.0,733,353.671865
-2700.0,733,418.674181
-6200.0,732,427.937668
-10400.0,732,437.349899
-1800.0,731,447.098032
-2600.0,731,456.600868
-7300.0,738,466.144504
-1800.0,732,475.59945
-1200.0,732,485.18116
-3200.0,735,494.955801
-600.0,734,563.27765
-3800.0,731,573.176814
-1200.0,733,582.961351
-5300.0,732,592.641145
-8700.0,736,602.277385
-5500.0,732,612.049277
-1500.0,733,621.672243
-2400.0,733,631.337579
-3900.0,733,696.108194
-4900.0,734,705.023265
-2400.0,735,713.976056
-900.0,734,723.142939
-600.0,733,732.484104
-3000.0,736,742.146245
-600.0,735,751.57784
-2300.0,734,761.338998
-1500.0,731,771.072409
-2300.0,734,838.951133
-1200.0,736,848.119271
-2600.0,735,857.300018
-1500.0,735,866.555688
-3500.0,733,875.93801
-7500.0,735,885.498232
-3200.0,731,895.008001
-1500.0,736,904.490019
-3200.0,736,969.507113
-4700.0,738,978.822986
-900.0,730,988.213923
-2400.0,731,997.670265
0.0,736,1007.013053
-600.0,737,1016.466013
-1800.0,735,1026.238121
-300.0,735,1035.902171
-1200.0,733,1045.41042
-3200.0,733,1115.678568
-1500.0,732,1124.984413
-1500.0,731,1134.395204
-6400.0,731,1143.56772
-6700.0,738,1153.002747
-600.0,734,1162.453658
-7300.0,737,1171.876462
-2300.0,730,1181.150762
-4600.0,732,1247.367835
-1200.0,734,1256.678281
-1500.0,737,1265.874303
-3900.0,731,1275.118082
