# {"t_start": 1680510885.1768117, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
0.0,616,13.00964
0.0,297,17.677954
0.0,520,26.656093
0.0,553,36.141311
0.0,293,41.019743
0.0,796,54.723009
0.0,525,63.740585
0.0,494,72.286666
0.0,483,80.276757
200.0,618,90.372755
0.0,348,96.012214
0.0,546,104.137951
400.0,534,135.549007
0.0,431,141.808435
0.0,667,151.349059
0.0,362,155.844566
0.0,613,163.448406
0.0,657,171.814106
200.0,485,177.906868
0.0,481,183.956744
0.0,550,190.89803
0.0,410,196.699196
0.0,526,204.404617
200.0,598,212.959975
0.0,556,248.144328
0.0,592,259.49263
0.0,489,268.738142
0.0,349,275.395036
200.0,490,284.693824
400.0,478,293.59364
0.0,353,300.230731
0.0,421,308.12861
0.0,403,315.893334
0.0,484,325.264537
0.0,406,333.107374
200.0,535,343.394015
0.0,286,348.191319
0.0,362,354.362507
0.0,543,388.267356
0.0,639,398.399959
0.0,541,406.985512
0.0,606,416.598211
0.0,409,423.582451
0.0,469,431.99893
0.0,480,440.849116
0.0,299,446.288979
400.0,599,457.036957
0.0,419,464.983224
0.0,673,479.03446
0.0,477,489.837056
0.0,467,500.402621
200.0,543,544.963634
0.0,479,554.213681
0.0,538,564.074136
0.0,410,571.421439
200.0,675,583.885139
0.0,674,596.617925
400.0,670,610.338313
0.0,278,615.935783
0.0,597,628.483871
0.0,659,641.057327
0.0,348,646.731282
200.0,417,653.799273
0.0,725,702.215493
0.0,403,709.034923
0.0,541,718.303778
0.0,351,724.223446
0.0,342,729.483539
0.0,474,737.006183
0.0,542,745.659971
0.0,410,751.405825
0.0,494,758.661109
0.0,444,765.84306
0.0,492,773.676807
0.0,280,778.001581
200.0,532,786.439006
0.0,280,791.153755
0.0,438,837.459898
0.0,600,848.824354
0.0,274,854.113442
0.0,362,861.234632
200.0,597,872.935224
200.0,545,883.638223
0.0,595,895.183416
200.0,547,906.200187
0.0,545,915.961149
200.0,415,923.472627
0.0,539,933.332105
0.0,288,938.494534
0.0,410,945.889466
200.0,487,953.792481
0.0,348,984.49445
0.0,359,990.203864
200.0,500,998.109235
0.0,478,1005.77506
0.0,485,1013.525452
0.0,401,1019.897385
0.0,541,1028.504485
0.0,366,1034.47531
200.0,595,1046.175537
0.0,378,1053.964492
0.0,471,1063.859735
200.0,538,1075.244396
0.0,278,1081.295174
0.0,370,1089.36206
0.0,552,1132.669615
0.0,585,1145.037496
0.0,664,1158.037802
0.0,357,1164.891763
0.0,627,1177.047396
0.0,347,1183.654783
0.0,569,1195.243066
0.0,357,1202.398078
0.0,287,1206.58987
0.0,349,1212.038756
0.0,489,1219.485934
0.0,393,1225.681307
0.0,504,1233.855185
200.0,549,1242.525752
0.0,612,1286.904516
0.0,542,1296.226037
200.0,481,1304.447928
0.0,598,1314.583613
0.0,610,1325.120736
0.0,544,1334.378879
0.0,427,1340.77462
0.0,409,1346.566543
200.0,492,1354.033145
0.0,483,1362.836676
0.0,673,1375.202862
200.0,625,1421.397798
0.0,377,1428.750824
200.0,479,1438.151749
0.0,602,1449.965257
0.0,350,1456.765724
0.0,565,1467.311915
0.0,279,1472.288167
200.0,563,1482.596035
0.0,354,1488.962396
200.0,674,1501.455949
0.0,284,1506.543952
0.0,481,1514.702048
0.0,408,1521.690174
0.0,417,1528.814617
0.0,535,1562.038696
0.0,369,1567.55227
0.0,356,1573.623278
200.0,609,1584.186264
0.0,417,1591.378002
0.0,358,1598.385602
0.0,437,1606.886442
200.0,722,1620.137827
0.0,343,1626.277482
0.0,851,1641.930048
