# {"t_start": 1680510894.2085378, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
0.0,613,19.697324
0.0,427,29.62881
200.0,571,42.987868
200.0,551,55.871986
200.0,539,68.614528
200.0,533,80.503173
0.0,543,92.56523
0.0,373,99.858497
0.0,346,106.39396
0.0,601,118.070441
0.0,600,129.946905
0.0,421,138.600428
0.0,414,186.219337
0.0,448,195.551502
0.0,552,206.645247
0.0,274,211.866671
200.0,470,221.001562
0.0,408,230.4195
0.0,467,242.374361
0.0,728,261.604658
0.0,376,271.512646
0.0,409,282.231932
0.0,601,297.891299
0.0,594,313.623262
0.0,407,324.454626
0.0,541,376.914425
0.0,337,384.630937
0.0,357,392.718653
0.0,353,400.720073
0.0,288,407.176708
0.0,280,413.68599
0.0,411,423.961496
0.0,543,437.692931
0.0,437,448.409965
0.0,360,457.611571
0.0,288,465.607931
0.0,543,481.683116
200.0,534,497.572381
0.0,285,505.814855
0.0,603,523.303733
0.0,540,538.57537
0.0,529,596.133912
0.0,279,603.804288
0.0,352,613.665493
0.0,485,626.845821
200.0,538,640.037596
0.0,425,650.010068
0.0,604,663.736444
0.0,614,677.698195
0.0,424,687.392112
0.0,475,698.76162
0.0,284,705.542992
0.0,419,715.486454
0.0,356,723.486335
0.0,468,734.198166
0.0,427,784.402139
0.0,536,797.505157
0.0,282,804.355366
0.0,478,815.865361
0.0,409,825.681686
200.0,601,841.416574
0.0,549,855.934545
0.0,292,863.594383
0.0,471,876.083274
0.0,410,886.717204
200.0,343,895.850446
200.0,660,912.359258
0.0,658,928.994431
0.0,404,939.083739
200.0,621,980.929895
0.0,539,993.286099
0.0,350,1001.258648
0.0,711,1017.631077
200.0,735,1036.018091
0.0,548,1051.362599
0.0,549,1067.061143
0.0,532,1082.704268
0.0,526,1097.534574
200.0,561,1113.375195
0.0,534,1128.760575
0.0,460,1187.223975
200.0,409,1197.354347
200.0,479,1207.932259
200.0,482,1218.692263
0.0,279,1224.999161
200.0,625,1238.803959
200.0,334,1246.139883
200.0,549,1258.065726
200.0,550,1270.127927
0.0,470,1281.241316
200.0,416,1291.129474
0.0,481,1302.518663
0.0,302,1309.701307
0.0,412,1319.643151
0.0,402,1370.026464
0.0,495,1382.77165
0.0,543,1396.653939
0.0,430,1407.512751
0.0,472,1419.924889
0.0,607,1436.063345
200.0,350,1445.206232
0.0,430,1456.277476
0.0,370,1465.749358
0.0,413,1476.224843
0.0,347,1484.997579
0.0,547,1498.768867
200.0,406,1508.213835
0.0,419,1518.340291
200.0,622,1561.920101
0.0,623,1576.815089
200.0,662,1593.889076
0.0,594,1609.129492
0.0,464,1620.828044
0.0,472,1632.965831
200.0,738,1653.745494
0.0,533,1668.665448
200.0,552,1683.296628
0.0,405,1694.067741
0.0,484,1707.240207
200.0,668,1767.497908
0.0,406,1778.188357
0.0,533,1792.324341
0.0,292,1799.232306
0.0,412,1808.992516
200.0,677,1825.025995
0.0,353,1833.472651
0.0,305,1840.929926
0.0,352,1849.632438
0.0,282,1856.613515
200.0,728,1874.235097
0.0,439,1884.736938
0.0,601,1899.005071
0.0,281,1905.569214
0.0,280,1912.147895
0.0,341,1919.934012
0.0,416,1964.379759
0.0,538,1977.465885
0.0,543,1991.30611
0.0,664,2008.673462
0.0,528,2022.498704
0.0,664,2040.093277
0.0,444,2051.844929
200.0,487,2064.654427
0.0,289,2072.297538
0.0,287,2079.936153
0.0,623,2093.9221
400.0,619,2107.716648
0.0,344,2152.994949
0.0,543,2167.765498
0.0,415,2179.415452
0.0,500,2193.237652
200.0,606,2210.32478
0.0,605,2227.295594
0.0,289,2235.448264
0.0,474,2249.155514
0.0,289,2257.362975
0.0,672,2275.879244
0.0,343,2285.423163
0.0,670,2304.617463
0.0,290,2312.419139
200.0,490,2325.913992
0.0,606,2379.621854
0.0,411,2389.651784
200.0,534,2401.809315
0.0,285,2407.931753
0.0,413,2416.848296
0.0,472,2427.22056
0.0,481,2437.989453
0.0,341,2445.715346
