# {"t_start": 1680454668.380542, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
470.0,753,11.665743
960.0,839,20.459134
740.0,633,27.656489
370.0,695,36.204063
560.0,706,46.154894
290.0,724,56.428777
400.0,697,66.098191
630.0,684,75.831335
400.0,618,117.932339
470.0,589,125.932312
420.0,498,133.107944
440.0,570,142.04752
550.0,615,154.478442
900.0,598,166.928639
600.0,610,179.611309
730.0,700,194.526016
870.0,492,204.844646
540.0,575,217.527926
660.0,781,234.010667
760.0,724,316.349422
1160.0,661,325.524377
350.0,537,334.068338
550.0,574,343.204872
2010.0,960,358.531777
910.0,807,372.597718
850.0,713,385.325321
630.0,719,398.190671
350.0,337,404.253928
1170.0,812,470.649006
1430.0,1042,489.148047
1010.0,857,504.602761
460.0,430,512.556833
690.0,641,522.62155
870.0,656,532.490116
920.0,785,545.418842
610.0,771,558.358312
550.0,668,569.902035
990.0,707,637.555476
570.0,482,647.736471
920.0,1010,669.170857
870.0,748,684.823962
640.0,555,696.207969
1820.0,1163,718.134079
700.0,661,729.771785
230.0,288,734.069819
270.0,350,739.62851
1280.0,981,805.948194
610.0,579,817.422973
540.0,624,829.879139
890.0,549,840.684137
770.0,818,856.861773
1180.0,569,868.280469
720.0,551,879.01801
540.0,559,890.079846
1290.0,695,903.234079
580.0,490,912.676117
620.0,576,975.042427
1030.0,624,984.699868
960.0,967,999.835255
430.0,394,1006.029074
720.0,643,1016.291166
220.0,364,1022.731142
1270.0,770,1037.166092
570.0,528,1047.940253
590.0,574,1059.936249
570.0,566,1071.791099
1200.0,814,1138.666431
420.0,437,1146.832309
1030.0,747,1160.938179
390.0,535,1170.982634
260.0,450,1179.432631
1050.0,766,1192.20435
620.0,658,1203.229702
490.0,470,1210.121786
670.0,592,1218.481395
460.0,460,1225.384047
920.0,581,1235.292846
840.0,689,1297.494891
930.0,725,1312.342932
410.0,420,1320.886574
450.0,398,1328.635746
690.0,589,1339.980006
1080.0,741,1354.822247
630.0,544,1365.84736
970.0,573,1377.078314
510.0,764,1391.144992
670.0,859,1407.139195
1500.0,848,1465.581626
640.0,636,1476.622476
690.0,540,1486.98014
2340.0,942,1505.344412
1030.0,698,1519.045029
600.0,533,1528.787565
680.0,643,1540.319035
1140.0,940,1556.807114
570.0,544,1566.374454
990.0,926,1626.460493
510.0,505,1634.418476
850.0,770,1646.998964
540.0,459,1654.506222
2450.0,970,1671.86669
860.0,707,1684.955975
2140.0,695,1698.602448
1420.0,782,1713.93936
990.0,828,1784.165428
1040.0,742,1799.020003
490.0,499,1809.128347
1200.0,1026,1830.457547
630.0,536,1841.13359
1530.0,1190,1861.19224
680.0,610,1871.405345
1090.0,659,1882.12609
