# {"t_start": 1680491285.3694453, "env_id": "MsPacmanNoFrameskip-v4"} 
r,l,t
420.0,437,7.706862
180.0,423,12.806181
650.0,657,20.770189
2100.0,927,32.251368
530.0,537,39.45806
570.0,494,46.806956
450.0,700,58.755035
430.0,452,67.620394
990.0,603,81.304117
840.0,792,101.731795
650.0,754,199.471197
720.0,651,218.200896
1150.0,779,238.634407
670.0,600,253.837097
310.0,385,263.964474
810.0,576,278.140156
840.0,799,297.103993
530.0,506,308.760835
1630.0,969,331.105509
3680.0,732,397.934831
340.0,629,412.979642
690.0,627,429.035802
440.0,573,444.397127
270.0,637,461.715102
960.0,1164,490.512737
1110.0,681,508.895976
690.0,852,532.76965
680.0,631,549.622265
620.0,578,622.886395
520.0,778,643.658148
1120.0,746,662.965497
880.0,690,680.852548
1040.0,654,697.849283
1500.0,852,720.054884
660.0,619,734.715015
850.0,872,755.254437
530.0,463,766.421685
550.0,581,826.62041
320.0,434,838.369557
650.0,528,852.75409
370.0,423,863.751043
1220.0,781,884.381853
410.0,490,898.424242
570.0,455,911.465915
1130.0,909,935.678306
580.0,571,951.345396
1430.0,834,972.305327
870.0,794,1043.470951
1650.0,944,1065.595374
700.0,489,1078.407523
580.0,502,1091.596283
530.0,496,1104.720978
840.0,818,1125.728887
530.0,610,1140.663442
1130.0,898,1163.192015
410.0,502,1175.958944
560.0,674,1192.856812
910.0,717,1256.508628
860.0,584,1269.401669
520.0,575,1283.20369
720.0,634,1298.356581
520.0,494,1310.667934
1480.0,798,1332.446083
770.0,655,1350.721665
840.0,730,1370.180302
1130.0,881,1393.479582
440.0,436,1466.046769
780.0,547,1478.518172
1050.0,725,1494.908016
590.0,640,1509.710646
590.0,628,1524.355594
1390.0,952,1545.840165
230.0,404,1554.627248
1010.0,938,1574.634212
920.0,808,1593.995534
480.0,572,1672.413682
450.0,529,1686.945465
570.0,474,1699.993975
630.0,466,1712.837325
930.0,569,1727.069947
660.0,650,1743.187035
1310.0,795,1763.013851
1260.0,891,1784.818618
830.0,666,1800.565226
350.0,365,1809.538053
490.0,428,1820.554289
270.0,381,1880.39009
690.0,589,1894.950757
1150.0,947,1918.475224
950.0,741,1936.037886
1000.0,670,1952.013961
300.0,369,1960.865557
1210.0,854,1979.430094
560.0,471,1989.123158
300.0,311,1995.853012
1480.0,691,2010.53439
760.0,556,2022.447907
400.0,412,2104.550191
1630.0,1173,2135.85053
600.0,583,2151.207052
1020.0,595,2167.086162
530.0,582,2182.711499
1800.0,813,2204.321745
510.0,527,2217.761788
670.0,585,2232.229125
1160.0,717,2248.931932
750.0,752,2319.970886
1440.0,678,2335.253953
1530.0,1098,2360.924865
870.0,754,2379.467666
730.0,769,2399.186112
860.0,642,2415.483163
980.0,865,2437.986236
570.0,449,2449.631295
710.0,604,2540.756493
1170.0,746,2561.479541
720.0,614,2578.16222
740.0,634,2595.466565
