# {"t_start": 1680521460.416288, "env_id": "SkiingNoFrameskip-v4"} 
r,l,t
-29950.0,4500,109.077122
-29972.0,4503,262.889187
-9005.0,527,275.386664
-8993.0,525,286.548792
-8981.0,524,297.373382
-8978.0,523,307.938874
-8968.0,522,318.08126
-8991.0,525,328.573847
-8981.0,524,387.930994
-8975.0,523,396.603364
-8990.0,525,405.932202
-8988.0,525,415.853593
-8991.0,525,425.656671
-8991.0,525,435.603814
-8991.0,525,445.100335
-8976.0,523,454.535257
-8980.0,523,463.972004
-8988.0,525,473.614927
-8983.0,524,484.098261
-8988.0,525,495.255354
-8975.0,523,563.980012
-9011.0,528,575.678941
-8990.0,525,586.528053
-8981.0,524,597.120717
-8973.0,522,607.477957
-9001.0,527,617.996349
-9010.0,528,629.37169
-8980.0,523,640.971747
-8970.0,522,653.194547
-8971.0,522,664.25092
-8998.0,526,675.620187
-8965.0,521,687.864577
-9011.0,528,754.976192
-8986.0,524,765.792498
-8981.0,524,775.797272
-8991.0,525,785.931497
-9001.0,527,796.172739
-8970.0,522,805.508373
-8989.0,525,815.810504
-8970.0,522,826.641034
-8978.0,523,837.27926
-29965.0,4502,1346.627934
-29967.0,4502,1890.512273
-29953.0,4500,1977.574607
-8966.0,521,1988.52804
-9004.0,527,2051.627843
-14482.0,749,2066.419304
-8995.0,526,2076.896314
-8966.0,521,2087.130952
-8973.0,522,2097.764114
-8981.0,524,2108.196848
-8996.0,526,2118.898385
-9000.0,526,2129.682621
-9031.0,531,2140.103601
-8978.0,523,2148.578531
-8968.0,522,2157.32762
-8970.0,522,2166.101218
-8980.0,523,2225.566664
-8990.0,525,2237.009943
-8978.0,523,2248.381917
-8993.0,525,2259.559711
-9005.0,527,2270.649506
-9003.0,527,2281.826431
-9006.0,527,2293.222121
-8975.0,523,2305.3381
-8981.0,524,2318.237346
-9011.0,528,2331.165784
-9008.0,528,2344.249562
-8973.0,522,2416.992799
-9006.0,527,2428.771855
-8995.0,526,2439.703818
-9010.0,528,2450.571625
-8963.0,521,2461.132327
-29968.0,4503,2593.708707
-8995.0,526,2603.113041
-8981.0,524,2612.604839
-8963.0,521,2622.120588
-8978.0,523,2632.871579
-8985.0,524,2644.162731
-8968.0,522,2655.305244
-8975.0,523,2667.684857
-8975.0,523,2679.904599
-9001.0,527,2692.349825
-9003.0,527,2704.034477
-8966.0,521,2715.762612
-8996.0,526,2780.290153
-8995.0,526,2790.359716
-8991.0,525,2800.893588
-9008.0,528,2811.437128
-8988.0,525,2820.638356
-9001.0,527,2830.175753
-8985.0,524,2841.327604
-8983.0,524,2851.22562
-8993.0,525,2862.369633
-8985.0,524,2873.377113
-8995.0,526,2884.487808
-8981.0,524,2895.499207
-8986.0,524,2964.217712
-9008.0,528,2975.979153
-8975.0,523,2987.621119
-8983.0,524,2999.317822
-8966.0,521,3010.399431
-9006.0,527,3020.786139
-9005.0,527,3031.376266
-8976.0,523,3041.657966
-8971.0,522,3050.772935
-8995.0,526,3060.000374
-8973.0,522,3069.569743
-8978.0,523,3135.285052
-8996.0,526,3147.500461
-9000.0,526,3159.889455
-8996.0,526,3172.116719
-8985.0,524,3184.248867
-8975.0,523,3196.16178
-9005.0,527,3207.907538
-8985.0,524,3219.571764
-8968.0,522,3231.297773
-8995.0,526,3243.235099
-8966.0,521,3255.104956
-8965.0,521,3266.213188
-8965.0,521,3322.027771
-9005.0,527,3332.030344
-8983.0,524,3342.057905
-9011.0,528,3352.194399
-8996.0,526,3362.029116
-8970.0,522,3373.17592
-9005.0,527,3384.606635
-9005.0,527,3395.887135
-8975.0,523,3407.062509
-8996.0,526,3417.731609
-8985.0,524,3427.80275
-9006.0,527,3437.867462
-8971.0,522,3498.97233
-8981.0,524,3508.347657
-9006.0,527,3517.6719
-8963.0,521,3528.006038
-8973.0,522,3538.009521
-8968.0,522,3548.464328
-8985.0,524,3559.237924
-8993.0,525,3569.855367
-8998.0,526,3581.625594
-9011.0,528,3593.436691
-9001.0,527,3605.654186
-9008.0,528,3617.967499
-8966.0,521,3691.061934
-8996.0,526,3703.92208
-9008.0,528,3716.81542
-8991.0,525,3728.328759
-8990.0,525,3738.929516
-9010.0,528,3749.027095
-9000.0,526,3759.068496
-8978.0,523,3768.057255
-8978.0,523,3777.407797
-8970.0,522,3787.764867
-9008.0,528,3798.333884
-8986.0,524,3809.006804
-8966.0,521,3871.208411
-9008.0,528,3881.187224
