# {"t_start": 1680521453.8545732, "env_id": "SkiingNoFrameskip-v4"} 
r,l,t
-29972.0,4503,147.268092
-29953.0,4500,761.423306
-29972.0,4503,1353.585571
-29973.0,4503,1499.245028
-8980.0,523,1515.76477
-8998.0,526,1591.40382
-8998.0,526,1605.916695
-8986.0,524,1619.949812
-8971.0,522,1633.706829
-8998.0,526,1648.605891
-29958.0,4501,2253.86097
-29967.0,4502,2395.479986
-29990.0,4506,3011.959168
-29952.0,4500,3626.31126
-29995.0,4507,3766.587495
-29960.0,4501,4381.093095
-29957.0,4501,5006.289533
-29995.0,4507,5606.195952
-29970.0,4503,5729.573756
-29990.0,4506,6309.01507
-29965.0,4502,6879.113779
-29997.0,4507,7458.368506
-29957.0,4501,7577.964066
-29972.0,4503,8173.952519
-9000.0,526,8186.097757
-8993.0,525,8198.990599
-8971.0,522,8211.945933
-8963.0,521,8226.070261
-8971.0,522,8240.094645
-9000.0,526,8255.416523
-8971.0,522,8331.281672
-9001.0,527,8346.529714
-8963.0,521,8362.124407
-9006.0,527,8378.45637
-8990.0,525,8393.779218
-9008.0,528,8408.627893
-8988.0,525,8421.676205
-8988.0,525,8435.301569
-8971.0,522,8449.437269
-8976.0,523,8463.336125
-8965.0,521,8476.636338
-8993.0,525,8489.513105
-8976.0,523,8564.71876
-8991.0,525,8580.595899
-8990.0,525,8596.630006
-8973.0,522,8611.15619
-8965.0,521,8625.931717
-8998.0,526,8640.075416
-8986.0,524,8654.347936
-8983.0,524,8668.450123
-8978.0,523,8682.017844
-8990.0,525,8695.524145
-8988.0,525,8709.269856
-8998.0,526,8723.465116
-8963.0,521,8799.519727
-8981.0,524,8814.902303
-8993.0,525,8829.770713
-9005.0,527,8844.233469
-8988.0,525,8858.328355
-8985.0,524,8873.204494
-9000.0,526,8888.935432
-9006.0,527,8904.045784
-8991.0,525,8918.133968
-8971.0,522,8932.071312
-9006.0,527,8945.68441
-9005.0,527,8958.420969
-8985.0,524,9030.157128
-8963.0,521,9043.888169
-8963.0,521,9058.382527
-8985.0,524,9073.502108
-8966.0,521,9089.536471
-8980.0,523,9104.574027
-8965.0,521,9119.218664
-8990.0,525,9133.985511
-8973.0,522,9148.818352
-9003.0,527,9162.965751
-8995.0,526,9177.104161
-8981.0,524,9190.54621
-9005.0,527,9262.736504
-8971.0,522,9277.391176
-8966.0,521,9292.739128
-8973.0,522,9308.392808
-8985.0,524,9323.695139
-8965.0,521,9339.232683
-8990.0,525,9353.850651
-8995.0,526,9367.73976
-8976.0,523,9381.857627
-9000.0,526,9396.210433
-9011.0,528,9409.086448
-9010.0,528,9478.148
-8963.0,521,9493.168771
-8968.0,522,9509.08495
-9039.0,532,9525.088043
-29975.0,4504,9650.546399
-8978.0,523,9719.329386
-9011.0,528,9734.885325
-8996.0,526,9750.531929
-9005.0,527,9766.006217
-8986.0,524,9780.569368
-9001.0,527,9795.404387
-8991.0,525,9810.682103
-8991.0,525,9825.736866
-9010.0,528,9840.955738
-9001.0,527,9856.335406
-8996.0,526,9871.700059
-9010.0,528,9886.760628
-29990.0,4506,10068.639459
-29958.0,4501,10653.854433
-9032.0,531,10668.184552
-29990.0,4506,11261.622882
-29973.0,4503,11378.60129
-29965.0,4502,11968.58124
-29970.0,4503,12556.635982
-29992.0,4506,13134.133357
-29953.0,4500,13246.596989
