# {"t_start": 1680521378.5350938, "env_id": "TimePilotNoFrameskip-v4"} 
r,l,t
4100.0,1587,23.785396
1000.0,1540,45.40914
800.0,1266,66.183781
3800.0,1574,97.558049
3800.0,1537,276.265068
600.0,1094,298.847085
4700.0,1870,341.284621
700.0,1266,369.220391
1400.0,2318,512.930894
3900.0,1934,547.035744
4300.0,2089,588.114091
4000.0,1771,737.23683
900.0,1632,771.794034
4500.0,1859,809.144305
4400.0,1590,840.750427
1000.0,1369,1024.867233
4000.0,1814,1061.935283
800.0,926,1079.965038
4300.0,1813,1115.282257
4300.0,1841,1232.454566
600.0,943,1251.22321
3800.0,1970,1290.073116
700.0,1056,1310.672825
4800.0,2272,1486.927944
8500.0,3132,1560.745431
500.0,1495,1593.185579
4200.0,1444,1724.413503
800.0,1539,1754.53399
4300.0,1710,1786.994141
4100.0,2014,1827.659212
3900.0,1377,1964.110184
4300.0,1985,2004.145867
4000.0,1613,2033.107658
4000.0,1314,2059.781737
700.0,1793,2200.450926
4500.0,2424,2243.57939
4000.0,1397,2266.750394
900.0,1798,2445.604393
1100.0,1386,2475.814125
4500.0,2314,2525.036565
4400.0,2552,2669.607903
4500.0,2278,2709.919185
4800.0,2432,2762.118706
4600.0,2091,2936.462898
4600.0,2023,2977.790507
4100.0,1168,3002.365612
4200.0,1835,3147.148405
1000.0,1503,3174.145138
4200.0,2728,3231.478752
4400.0,2236,3386.090649
900.0,1115,3404.541816
4200.0,2150,3443.89658
4400.0,1624,3476.942698
800.0,1484,3637.886298
4800.0,2833,3697.95368
1000.0,1120,3722.054345
4200.0,1599,3759.231494
3900.0,1428,3907.258281
4000.0,1874,3939.462773
4100.0,1440,3965.067925
4000.0,1410,3989.818505
4200.0,1347,4097.4856
1600.0,1737,4135.225275
8200.0,2874,4196.950691
4500.0,2071,4304.950534
7800.0,2427,4355.794449
3800.0,1455,4388.562973
4500.0,1805,4587.821535
3900.0,1417,4616.754801
800.0,1236,4643.253971
4000.0,1893,4679.543596
4300.0,1944,4843.252319
600.0,1226,4865.288038
500.0,1125,4885.749818
