# {"t_start": 1680511108.9626873, "env_id": "TimePilotNoFrameskip-v4"} 
r,l,t
3800.0,1466,41.198834
4300.0,1598,81.636194
4000.0,1491,119.652308
4000.0,1172,145.427196
4400.0,1821,271.087106
4000.0,1506,313.492088
4100.0,1684,356.185635
4800.0,2431,544.293642
4300.0,1873,586.662776
5200.0,3186,665.850794
3800.0,1097,820.083765
4000.0,1677,866.604504
4400.0,1791,915.67515
4400.0,1864,963.344666
1400.0,1909,1162.140742
4200.0,1553,1200.382813
4100.0,1136,1229.540998
3900.0,1701,1271.210382
4500.0,1871,1453.50678
4200.0,1734,1499.39161
4700.0,3268,1713.767373
1100.0,1238,1740.243563
800.0,1309,1770.848879
4000.0,1779,1815.716541
4200.0,1549,1855.231126
4000.0,1168,1965.104377
900.0,1130,1996.010346
4400.0,1950,2049.99719
1000.0,1256,2084.274899
1100.0,1666,2251.73579
900.0,1241,2283.123667
4700.0,1999,2330.712008
3900.0,1501,2365.454785
900.0,1256,2499.743433
3900.0,1556,2539.632132
4200.0,2492,2611.83086
4600.0,3430,2789.294573
800.0,1461,2827.126709
4500.0,1819,2873.548487
4500.0,2038,2998.092446
7700.0,2126,3053.728147
4000.0,1248,3088.934027
4000.0,1219,3124.07007
900.0,949,3148.274388
4600.0,2086,3295.225421
700.0,1062,3322.036036
3900.0,976,3344.263964
4200.0,1259,3373.437088
800.0,1023,3397.385839
4100.0,2044,3525.153522
800.0,1362,3556.986673
4200.0,1391,3593.999427
800.0,1119,3624.194023
3800.0,1692,3744.49385
1000.0,1365,3778.943519
500.0,1065,3806.268944
7700.0,2158,3861.953875
4500.0,1586,3972.518525
4500.0,2150,4025.627218
800.0,1177,4057.253841
4300.0,1603,4099.742314
800.0,1396,4239.613814
800.0,936,4265.098998
900.0,1176,4296.463162
4200.0,1787,4346.813446
3800.0,1149,4373.414041
4300.0,1328,4493.059182
4400.0,1602,4533.946749
1200.0,1304,4562.494003
4400.0,1573,4595.666062
1000.0,1291,4715.622539
900.0,1438,4751.954815
8000.0,2368,4819.114137
4300.0,2436,4969.827527
4000.0,1278,5002.037317
4400.0,1927,5045.159738
4500.0,2004,5095.115641
800.0,1370,5243.756822
4500.0,1711,5287.553873
4000.0,1423,5322.499864
600.0,1097,5345.427721
4400.0,1568,5504.886376
500.0,1030,5534.500333
900.0,1090,5562.667379
800.0,1110,5590.794947
8400.0,2419,5655.351316
1000.0,1202,5774.748453
4100.0,1591,5818.091185
8300.0,3045,5898.388964
4400.0,2073,6096.120291
900.0,1287,6133.252466
600.0,1295,6167.690778
4800.0,2209,6220.550326
4100.0,1657,6359.204009
4000.0,1411,6391.197236
4400.0,1404,6428.072917
4600.0,1793,6476.835071
1000.0,1122,6590.766255
800.0,1188,6620.92914
4200.0,1825,6667.54458
800.0,967,6693.215052
4700.0,1829,6829.03848
3900.0,1260,6859.908772
900.0,1100,6887.690338
7800.0,2158,6942.605637
4500.0,1638,6983.160502
4000.0,1410,7116.131589
4400.0,1982,7163.623547
4000.0,1427,7195.918618
4000.0,1430,7232.050988
3900.0,1151,7344.54017
4300.0,1410,7381.878671
700.0,1010,7407.674926
1000.0,1468,7446.86077
4200.0,1636,7576.106358
4200.0,1624,7613.88854
800.0,1185,7643.748647
3800.0,1278,7675.85754
3900.0,1170,7705.358915
4700.0,2040,7830.126181
700.0,1084,7858.543826
3900.0,1146,7887.390599
500.0,871,7909.000566
800.0,954,7933.052707
4500.0,1807,8080.233654
4400.0,1505,8122.363617
4500.0,1913,8170.724548
4600.0,1673,8207.759255
1200.0,1092,8313.200078
900.0,901,8336.240814
900.0,1016,8361.415141
4400.0,1720,8400.796582
800.0,1030,8426.409863
4100.0,1470,8550.742324
4400.0,1914,8602.478137
4400.0,1498,8644.407443
700.0,783,8666.04416
3900.0,1032,8695.730073
700.0,828,8804.649716
4600.0,1762,8848.380078
3800.0,1015,8876.10029
900.0,983,8902.887683
900.0,916,8926.880714
1000.0,1129,8956.683751
4300.0,1436,9076.959274
600.0,1063,9105.843071
4200.0,1280,9138.73588
800.0,849,9159.164659
4300.0,1777,9205.011989
4100.0,1430,9324.953809
800.0,828,9348.328633
900.0,1196,9382.405007
3900.0,1126,9413.449538
4100.0,1176,9443.395888
4100.0,1373,9579.054767
3800.0,897,9602.553945
3800.0,1798,9647.67488
3900.0,1508,9682.891428
7600.0,1957,9831.594237
4900.0,2042,9879.490911
4200.0,1289,9913.946705
3900.0,1169,9946.452452
4200.0,1076,9976.308597
4300.0,1060,10084.527388
4400.0,1430,10118.101323
4600.0,1445,10155.808775
3900.0,1344,10191.840985
4000.0,1106,10221.021499
4300.0,1463,10334.226496
4500.0,1768,10379.013922
8100.0,2609,10445.923632
4100.0,1190,10542.343174
3800.0,975,10568.158711
4000.0,1075,10597.228817
3900.0,1131,10629.533689
4100.0,1172,10662.987051
600.0,765,10684.756714
4300.0,1789,10802.937715
4500.0,1398,10839.859767
600.0,827,10860.909149
4000.0,1113,10889.66239
900.0,834,10910.684209
4200.0,1107,11012.396147
700.0,861,11034.094884
3900.0,1096,11061.954219
4400.0,1520,11100.856118
4000.0,1166,11130.101586
800.0,1236,11163.422034
4800.0,2161,11299.284312
4300.0,1517,11337.961087
3900.0,1259,11366.969499
700.0,725,11384.880694
3900.0,1352,11488.685116
4200.0,1224,11519.682245
900.0,1090,11545.478903
4000.0,1200,11573.540359
4100.0,1183,11602.969822
4600.0,1691,11726.823412
3800.0,1188,11758.854186
700.0,832,11780.576702
8100.0,2327,11844.436714
4100.0,1481,11886.965511
4400.0,1275,12015.394301
4700.0,1392,12051.444749
4400.0,1468,12090.337667
4300.0,991,12115.529506
600.0,675,12132.43375
4500.0,1376,12236.824073
1300.0,1261,12270.015713
500.0,738,12288.131243
4300.0,1319,12320.32647
800.0,988,12345.217816
4600.0,1607,12470.475365
500.0,914,12495.279606
3800.0,974,12522.163419
4400.0,1402,12559.121062
4500.0,1693,12605.007202
4700.0,1424,12710.557805
1000.0,915,12734.78117
1000.0,816,12756.452942
1200.0,1157,12786.408867
4000.0,1116,12815.180871
4200.0,2049,12931.945399
800.0,854,12953.985725
4500.0,1465,12994.678013
4300.0,1514,13036.50691
700.0,1133,13064.454928
600.0,925,13088.991831
800.0,916,13197.44694
4600.0,1629,13238.730473
4400.0,1885,13285.658392
4400.0,1861,13332.892041
4200.0,1507,13456.654071
4700.0,2855,13527.754704
4000.0,1058,13553.403364
4000.0,1426,13674.340996
400.0,1073,13705.082833
4000.0,1472,13747.360141
4300.0,1780,13793.906738
600.0,1180,13823.611143
1400.0,1595,13947.715038
4300.0,1982,13997.49966
4000.0,1094,14023.600106
700.0,1126,14048.872873
3900.0,1236,14210.928401
4300.0,1884,14261.586307
3900.0,1679,14306.365741
600.0,711,14325.149816
4100.0,998,14352.147524
800.0,991,14466.199471
4100.0,1359,14497.450623
4900.0,1836,14544.136978
4600.0,1793,14590.546018
4000.0,1589,14714.406461
4200.0,1477,14773.256949
900.0,1087,14815.017875
4500.0,2322,14908.263635
600.0,1170,15013.66145
1000.0,1106,15038.802546
800.0,819,15057.410529
700.0,804,15075.489279
800.0,1105,15101.301158
800.0,1101,15126.735174
600.0,1277,15154.312604
4700.0,1566,15280.256535
1100.0,987,15304.332251
4300.0,1383,15334.221941
4200.0,1578,15365.674548
1100.0,1181,15461.83022
4100.0,1352,15497.469239
3800.0,989,15521.581515
4100.0,1305,15551.29052
4100.0,1559,15588.607025
800.0,931,15676.547599
4100.0,1268,15706.323153
4400.0,1902,15747.727845
600.0,737,15765.531612
8300.0,2873,15920.320515
1000.0,1079,15944.977391
4500.0,1618,15985.200511
4000.0,1369,16021.946907
4400.0,1950,16151.754695
1000.0,1087,16177.967829
4500.0,1625,16216.639905
700.0,767,16234.361141
900.0,1142,16260.712743
4900.0,1459,16359.434802
3800.0,822,16378.141097
4000.0,1271,16407.229867
3900.0,952,16429.253041
4100.0,1269,16460.297904
4100.0,1389,16495.080431
3900.0,1485,16605.09458
3900.0,1117,16634.85186
4100.0,1202,16666.789777
4400.0,1486,16704.979416
800.0,1033,16729.211654
500.0,826,16817.758615
4000.0,1514,16853.795382
1200.0,1318,16883.980656
3900.0,1090,16907.766017
4700.0,1869,16952.786857
800.0,981,17047.537362
4200.0,1157,17074.232246
4400.0,2742,17136.367532
800.0,1046,17160.824858
4300.0,1635,17276.613557
700.0,799,17295.818681
4600.0,1821,17338.285397
3800.0,954,17360.090606
4300.0,1388,17391.962096
4200.0,1131,17488.92524
4700.0,1918,17533.985148
7800.0,2107,17583.566526
700.0,939,17606.042525
4400.0,1335,17785.871199
4000.0,1230,17835.388398
3800.0,1019,17877.12472
1100.0,1090,17919.783585
4300.0,1983,18000.509592
4300.0,1289,18156.758468
700.0,876,18189.616275
900.0,1005,18226.935265
7700.0,1531,18288.126125
3900.0,856,18321.767597
3800.0,1122,18471.60921
800.0,1014,18507.999024
4800.0,1859,18579.530145
600.0,926,18615.793557
1000.0,1328,18669.904445
4100.0,1248,18902.460133
3800.0,984,18940.795546
4600.0,1683,19006.43207
3900.0,964,19044.730234
4900.0,2253,19129.676436
4000.0,1160,19297.504806
900.0,863,19324.144476
4600.0,1505,19369.721732
4400.0,1679,19424.975837
3900.0,1141,19468.1364
4100.0,1099,19629.933184
1100.0,1289,19682.760021
4300.0,1313,19731.919592
4100.0,1160,19774.786066
4300.0,1578,19836.22074
800.0,902,19996.393598
600.0,814,20025.992491
4000.0,1475,20082.17022
4200.0,1249,20129.878373
600.0,887,20163.834938
600.0,997,20201.619308
4100.0,1164,20356.331862
4500.0,2064,20439.802629
700.0,969,20478.982032
4100.0,1179,20526.618164
4200.0,1287,20689.53396
4700.0,1659,20755.462049
4100.0,1125,20811.642689
4100.0,1243,20873.823105
4000.0,1191,20933.892492
700.0,866,21101.600109
4300.0,1115,21150.777259
700.0,749,21183.468348
4100.0,1025,21226.913479
4500.0,1396,21296.433602
4000.0,900,21342.038563
8000.0,2045,21580.494283
4500.0,1514,21654.813678
4100.0,1323,21716.663644
4100.0,1719,21797.021373
4300.0,1421,21978.767896
900.0,914,22020.297286
3900.0,1094,22070.193156
3900.0,933,22112.269584
1300.0,1185,22166.743036
1100.0,1214,22222.319026
4300.0,1713,22423.286435
600.0,766,22460.095357
500.0,965,22507.177028
4100.0,1947,22603.224555
3900.0,1259,22665.415401
800.0,864,22838.618889
800.0,881,22879.195242
600.0,839,22917.987306
3900.0,968,22962.668025
900.0,1092,23012.710866
600.0,689,23041.467599
4200.0,1250,23209.625018
7900.0,1737,23290.165802
900.0,1084,23339.528212
4200.0,1136,23391.03984
900.0,995,23436.126545
4400.0,1579,23627.693772
700.0,692,23661.042324
4000.0,1195,23718.72741
900.0,827,23756.967826
3900.0,1181,23811.166751
700.0,751,23845.390469
800.0,925,23888.253711
800.0,1184,24074.798043
4200.0,1126,24127.660056
1100.0,1049,24176.595046
900.0,857,24215.370219
4100.0,1422,24280.333895
4000.0,1400,24495.5592
4100.0,1167,24552.065744
500.0,802,24590.276643
3900.0,1188,24647.153706
800.0,1010,24695.62308
900.0,882,24737.619324
4200.0,992,24900.387469
4100.0,1218,24943.843673
3900.0,945,24977.076478
4000.0,1327,25022.798034
4400.0,1192,25063.595116
4500.0,1466,25112.010245
4900.0,2666,25304.901933
4200.0,1686,25360.335358
3900.0,1124,25397.635346
3900.0,1050,25506.76485
4200.0,1324,25547.216652
3900.0,916,25578.306148
3900.0,1093,25613.483972
800.0,1081,25648.747081
4400.0,1339,25692.298688
1500.0,1429,25819.007448
700.0,823,25846.214456
4100.0,1130,25883.658978
600.0,1091,25919.641231
1000.0,1025,25953.350655
4200.0,1184,25991.892631
4000.0,878,26121.007283
800.0,944,26152.792589
4800.0,1824,26216.27245
4000.0,1086,26254.003605
4300.0,1506,26306.674476
4700.0,1693,26450.396349
1000.0,1015,26485.683596
8200.0,2144,26561.593681
4000.0,1167,26603.055273
4200.0,1214,26729.407881
3800.0,1211,26764.024587
4300.0,1260,26794.262178
800.0,817,26814.029982
700.0,869,26835.719314
700.0,988,26867.713762
4100.0,1477,27007.569863
4200.0,1551,27058.272568
3900.0,1152,27095.64426
4100.0,1053,27129.949092
4400.0,1479,27178.338146
1000.0,918,27313.711495
4300.0,1134,27353.93702
4100.0,1170,27394.935757
4100.0,1178,27433.832641
4100.0,1265,27475.230924
3800.0,880,27600.828983
600.0,769,27625.325083
600.0,912,27654.626475
4000.0,798,27680.498753
3900.0,1058,27714.058661
800.0,863,27741.951491
4400.0,1366,27785.958178
3800.0,1066,27913.481401
4100.0,1572,27966.923262
4000.0,1074,28004.83861
3900.0,938,28036.044979
4200.0,1316,28071.250237
